Anilla,NombreEspecie,E,S,G,Ala,Peso,Tarso,Dia,Mes ,Año,Hora C,Hora F,Ancho tarso,Cola,Pico,Lugar,Municipio,Provincia,Anillador,Observaciones
229951,Riparia riparia,4,2,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
229952,Riparia riparia,4,2,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230008,Riparia riparia,4,1,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230011,Riparia riparia,4,1,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230016,Riparia riparia,4,1,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230018,Riparia riparia,4,2,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230020,Riparia riparia,4,1,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230021,Riparia riparia,4,0,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230024,Riparia riparia,4,2,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230039,Riparia riparia,4,1,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230041,Riparia riparia,4,1,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230044,Riparia riparia,4,2,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230045,Riparia riparia,4,1,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230047,Riparia riparia,4,2,,,,,15,5,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
230054,Riparia riparia,4,1,,,,,31,3,1988,5,6,,,,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,
