MODO;METAL;ESPECIE;DIA ;MES ;AÑO;LUGAR;MUNICIPIO ;PROVINCIA;EDAD;SEXO;ANILLADOR;Grasa;Ala;peso;tarso;pico;cola;Hora;Dias;Kms;Observaciones
A;4051366;Larus ridibundus;13;6;1998;Miguel Esteban;Miguel Esteban;Toledo;1;0;GO El Pardo;;;;;;;;;;Anillamiento
C;4051366;Larus ridibundus;10;8;2000;Salinas de Bonanza;Sanlucar de Barrameda;Cadiz;7;0;M. Vazquez;;;;;;;;789;412;control
A;4074612;Gelochelidon nilotica;26;6;1997;Veta La Palma;Puebla del Rio;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;4074612;Gelochelidon nilotica;29;4;2000;Laguna del Gobierno;La Lantejuela;Sevilla;9;0;Zamalla;;;;;;;;1026;100;Encontrado muerto
A;4041442;Clamator glandarius;11;6;1993;Chimeneas;Chimeneas;Granada;1;0;M. Vazquez;;;;;;;;;;Anillamiento
C;4041442;Clamator glandarius;11;7;1993;Pinar de La Algaida;Sanlucar de Barrameda;Cadiz;3;0;Particular;;;;;;;;30;228;Encontrado muerto
A;1004921;Bubo bubo;20;10;1998;Rio Huesna;El Pedroso;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;1004921;Bubo bubo;7;11;1998;Cantillana;Cantillana;Sevilla;3;0;PND;;;;;;;;18;19;Encontrado muerto
A;7028355;Tyto alba;11;2;1996;Cañada de los Pajaros;Puebla del Rio;Sevilla;4;0;CDP;;;;;;;;;;Anillamiento
C;7028355;Tyto alba;25;2;1996;Villanueva del Ariscal;Villanueva del Ariscal;Sevilla;4;0;M. Vazquez;;;;;;;;14;14;control
A;V027251;Caprimulgus europaeus;9;6;2001;Monte Castelo Darbo;Cangas de Morrazo;Pontevedra;4;1;Anduriña;;;;;;;;;;Anillamiento
C;V027251;Caprimulgus europaeus;11;5;2004;Torrebalnca de los Caños;Sevilla;Sevilla;4;0;M. Vazquez;;;;;;;;1067;596;control
A;3027096;Caprimulgus ruficollis;23;8;1990;PN Doñana;Almonte;Huelva;6;1;L. Garcia;;;;;;;;;;Anillamiento
C;3027096;Caprimulgus ruficollis;2;10;2001;Villamanrique;Villamanrique;Sevilla;4;0;M. Vazquez;;;;;;;;4058;29;Atropellado
A;3036226;Caprimulgus ruficollis;28;8;1996;El Alcornocal;Los Palacios;Sevilla;1;0;M. Vazquez;;;;;;;;;;Anillamiento
C;3036226;Caprimulgus ruficollis;15;10;1996;Jerez de la Frontera;Jerez de la Frontera;Cadiz;3;0;Particular;;;;;;;;48;57;Atropellado recuperado y liberado
A;A44940;Alcedo atthis;31;5;1985;Los Palacios;Los Palacios;Sevilla;4;0;GOSUR;;;;;;;;;;Anillamiento
C;A44940;Alcedo atthis;19;7;1987;Cañada de los Pajaros;Puebla del Rio;Sevilla;4;0;M. Vazquez;;;;;;;;898;18;control
A;4031313;Coracias garrulus;29;6;1991;Carmona;Carmona;Sevilla;1;0;EBD;;;;;;;;;;Anillamiento
C;4031313;Coracias garrulus;2;9;1993;Osuna;Osuna;Sevilla;2;0;LEO BIAGGI;;;;;;;;796;49;Colision con tendido electrico
A;4041068;Coracias garrulus;18;7;1993;Marchena;Marchena;Sevilla;1;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;4041068;Coracias garrulus;11;6;1994;San Sebastian de Ballesteros;San Sebastian de Ballesteros;Cordoba;4;0;Particular;;;;;;;;328;62;Encontrado herido y no liberado
A;9006627;Phoenicopterus ruber;21;8;1988;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;1;0;EBD;;;;;;;;;;Anillamiento
C;9006627;Phoenicopterus ruber;5;5;2005;Trebujena;Trebujena;Cadiz;A;0;M. Vazquez;;;;;;;;6101;131;Cazada escopeta solo anilla
A;1005849;Phoenicopterus ruber;15;8;1998;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;1;0;EBD;;;;;;;;;;Anillamiento
C;1005849;Phoenicopterus ruber;5;5;2005;Trebujena;Trebujena;Cadiz;A;0;M. Vazquez;;;;;;;;2455;131;Cazada escopeta solo anilla
A;1005554;Phoenicopterus ruber;15;8;1998;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;1;0;EBD;;;;;;;;;;Anillamiento
C;1005554;Phoenicopterus ruber;5;5;2005;Trebujena;Trebujena;Cadiz;A;0;M. Vazquez;;;;;;;;2455;131;Cazada escopeta solo anilla
A;1009532;Phoenicopterus ruber;25;6;2001;Caño Cardales PND;Aznalcazar;Sevilla;1;0;EBD;;;;;;;;;;Anillamiento
C;1009532;Phoenicopterus ruber;5;5;2005;Trebujena;Trebujena;Cadiz;A;0;M. Vazquez;;;;;;;;1410;24;Cazada escopeta solo anilla
A;7067180;Plegadis falcinellus;19;6;2003;La Fao PND;Aznalcazar;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;7067180;Plegadis falcinellus;5;5;2005;Trebujena;Trebujena;Cadiz;7;0;M. Vazquez;;;;;;;;686;24;Cazada escopeta solo anilla
A;9038650;Ciconia ciconia;10;8;2004;CF Vallcalent;Lleida;Lleida;3;0;ICO;;;;;;;;;;Anillamiento
C;9038650;Ciconia ciconia;15;2;2005;Trebujena;Trebujena;Cadiz;5;0;M. Vazquez;;;;;;;;189;788;control
A;9025091;Ciconia ciconia;21;7;2006;Cañada de los Pajaros;Puebla del Rio;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;9025091;Ciconia ciconia;15;11;2006;Chiclana de la Frontera;Chiclana de la Frontera;Cadiz;3;0;EBD;;;;;;;;187;82;Colision con tendido electrico
A;8002503;Milvus migrans;12;6;2006;Dehesa de Abajo;Puebla del Rio;Sevilla;1;0;M. Vazquez;;;;;;;;;;Anillamiento
C;8002503;Milvus migrans;25;6;2008;La Cascajera;Coria del Rio;Sevilla;3;0;GOSUR;;;;;;;;744;22;Colision con tendido electrico
A;7059614;Milvus migrans;5;6;2000;PN Doñana;Almonte;Huelva;1;0;FG Vilches;;;;;;;;;;Anillamiento
C;7059614;Milvus migrans;22;6;2000;Coria del Rio;Coria del Rio;Sevilla;3;0;M. Vazquez;;;;;;;;17;54;Encontrado herido y  liberado
A;7037233;Milvus migrans;12;6;1996;PN Doñana;Almonte;Huelva;1;0;FG Vilches;;;;;;;;;;Anillamiento
C;7037233;Milvus migrans;15;12;2004;Trebujena;Trebujena;Cadiz;A;0;M. Vazquez;;;;;;;;3108;24;Cazada escopeta
A;7095082;Buteo buteo;21;5;2007;RB Doñana;Almonte;Huelva;1;0;MM;;;;;;;;;;Anillamiento
C;7095082;Buteo buteo;2;1;2008;Entremuros;Aznalcazar;Sevilla;5;0;M. Vazquez;;;;;;;;226;28;control
A;7036561;Porphyrio porphyrio;21;2;2000;Veta La Palma;Puebla del Rio;Sevilla;6;1;L. Garcia;;;;;;;;;;Anillamiento
C;7036561;Porphyrio porphyrio;5;5;2005;Trebujena;Trebujena;Cadiz;A;0;M. Vazquez;;;;;;;;1900;26;Cazada escopeta solo anilla
A;4058404;Larus ridibundus;3;12;1994;Colmenar Viejo;Colmenar Viejo;Madrid;4;2;EMA;;;;;;;;;;Anillamiento
C;4058404;Larus ridibundus;15;11;2002;Trebujena;Trebujena;Cadiz;2;0;M. Vazquez;;;;;;;;2904;472;Cazada escopeta
A;5059612;Larus genei;22;7;1998;Veta La Palma;Puebla del Rio;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;5059612;Larus genei;15;11;2003;Trebujena;Trebujena;Cadiz;A;0;M. Vazquez;;;;;;;;1942;26;Cazada escopeta
A;7029236;Anas platyrhynchos;29;7;1990;PN Doñana;Almonte;Huelva;3;1;L. Garcia;;;;;;;;;;Anillamiento
C;7029236;Anas platyrhynchos;15;6;2005;Trebujena;Trebujena;Cadiz;A;0;M. Vazquez;;;;;;;;5435;24;Cazada escopeta
A;4110470;Gelochelidon nilotica;30;6;2004;PN Doñana;Aznalcazar;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;4110470;Gelochelidon nilotica;8;10;2004;Trebujena;Trebujena;Cadiz;3;0;M. Vazquez;;;;;;;;100;27;Enredada en red para proteger frutales y piscifactorias
A;5072455;Recurvirostra avosetta;27;6;2002;Veta La Palma;Puebla del Rio;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;5072455;Recurvirostra avosetta;15;11;2008;Huelva;Huelva;Huelva;A;0;M. Vazquez;;;;;;;;2333;70;Encontrado muerto
A;6050376;Egretta garcetta;7;7;1989;Corta de la Isleta;Puebla del Rio;Sevilla;1;0;Catedra de Vertebrados;;;;;;;;;;Anillamiento
C;6050376;Egretta garcetta;20;8;1991;Puebla del Rio;Puebla del Rio;Sevilla;2;0;LEO BIAGGI;;;;;;;;733;1;Encontrado muerto
A;7015867;Anas platyrhynchos;23;6;1986;Caño Cardales PND;Aznalcazar;Sevilla;1;2;A. Herrera;;;;;;;;;;Anillamiento
C;7015867;Anas platyrhynchos;26;9;1987;Lucio del Italiano;Puebla del Rio;Sevilla;5;2;LEO BIAGGI;;;;;;;;;;Encontrado enfermo y  liberado
A;7021718;Anas platyrhynchos;29;7;1988;El Desierto PND;Aznalcazar;Sevilla;6;2;A. Herrera;;;;;;;;;;Anillamiento
C;7021718;Anas platyrhynchos;30;7;1989;Lucio de las Gavetas;Puebla del Rio;Sevilla;6;2;LEO BIAGGI;;;;;;;;;;Encontrado enfermo y  liberado
A;7017911;Fulica atra;20;6;1987;Caño Travieso PND;Aznalcazar;Sevilla;4;0;F. Ibañez;;;;;;;;;;Anillamiento
C;7017911;Fulica atra;10;8;1987;Laguna Salada;Puerto de Santa Maria;Cadiz;4;0;LEO BIAGGI;;;;;;;;;;Encontrado enfermo y  liberado
A;R81870;Riparia riparia;21;7;1986;Cabanillas;Cabanillas;Navarra;3;0;Kaskabelza;;;;;;;;;;Anillamiento
C;R81870;Riparia riparia;27;3;1988;La Isleta;Puebla del Rio;Sevilla;7;0;M. Vazquez;;;;;;;;615;720;control
A;110733;Riparia riparia;16;4;1987;Guillena;Guillena;Sevilla;4;2;R. Carmona;;;;;;;;;;Anillamiento
C;110733;Riparia riparia;31;3;1988;La Isleta;Puebla del Rio;Sevilla;6;0;M. Vazquez;;;;;;;;;;control
A;116442;Riparia riparia;21;3;1987;Corta de la Cartuja;Sevilla;Sevilla;4;0;FG Vilches;;;;;;;;;;Anillamiento
C;116442;Riparia riparia;31;3;1988;La Isleta;Puebla del Rio;Sevilla;6;0;M. Vazquez;;;;;;;;;;control
A;117348;Riparia riparia;10;5;1987;Brazo de la Torre;Puebla del Rio;Sevilla;3;;G Phillo;;;;;;;;;;Anillamiento
C;117348;Riparia riparia;27;3;1988;La Isleta;Puebla del Rio;Sevilla;5;2;M. Vazquez;;;;;;;;;;control
A;157918;Riparia riparia;10;5;1987;Aeropuerto de Sevilla;Sevilla;Sevilla;6;2;GOSUR;;;;;;;;;;Anillamiento
C;157918;Riparia riparia;31;3;1988;La Isleta;Puebla del Rio;Sevilla;8;2;M. Vazquez;;;;;;;;;;control
A;157982;Riparia riparia;10;5;1987;Aeropuerto de Sevilla;Sevilla;Sevilla;6;2;GOSUR;;;;;;;;;;Anillamiento
C;157982;Riparia riparia;27;3;1988;La Isleta;Puebla del Rio;Sevilla;8;2;M. Vazquez;;;;;;;;;;control
A;175052;Riparia riparia;21;3;1987;Corta de la Cartuja;Sevilla;Sevilla;4;0;FG Vilches;;;;;;;;;;Anillamiento
C;175052;Riparia riparia;27;3;1988;La Isleta;Puebla del Rio;Sevilla;6;0;M. Vazquez;;;;;;;;;20;control
A;175183;Riparia riparia;10;4;1987;Corta de la Cartuja;Sevilla;Sevilla;4;1;FG Vilches;;;;;;;;;;Anillamiento
C;175183;Riparia riparia;15;5;1988;La Isleta;Puebla del Rio;Sevilla;6;1;M. Vazquez;;;;;;;;;20;control
A;176527;Riparia riparia;26;5;1987;Corta de la Cartuja;Sevilla;Sevilla;4;2;FG Vilches;;;;;;;;;;Anillamiento
C;176527;Riparia riparia;15;5;1988;La Isleta;Puebla del Rio;Sevilla;6;2;M. Vazquez;;;;;;;;;20;control
A;176565;Riparia riparia;26;5;1987;Corta de la Cartuja;Sevilla;Sevilla;3;0;FG Vilches;;;;;;;;;;Anillamiento
C;176565;Riparia riparia;15;5;1988;La Isleta;Puebla del Rio;Sevilla;5;2;M. Vazquez;;;;;;;;;20;control
A;176594;Riparia riparia;26;5;1987;Corta de la Cartuja;Sevilla;Sevilla;4;1;FG Vilches;;;;;;;;;;Anillamiento
C;176594;Riparia riparia;27;3;1988;La Isleta;Puebla del Rio;Sevilla;6;0;M. Vazquez;;;;;;;;;20;control
A;193513;Riparia riparia;14;4;1987;Guillena;Guillena;Sevilla;2;0;R. Carmona;;;;;;;;;;Anillamiento
C;193513;Riparia riparia;27;3;1988;La Isleta;Puebla del Rio;Sevilla;4;0;M. Vazquez;;;;;;;;;;control
C;193513;Riparia riparia;15;5;1988;La Isleta;Puebla del Rio;Sevilla;4;0;M. Vazquez;;;;;;;;;;control
A;193541;Riparia riparia;14;4;1987;Guillena;Guillena;Sevilla;4;0;R. Carmona;;;;;;;;;;Anillamiento
C;193541;Riparia riparia;15;5;1988;La Isleta;Puebla del Rio;Sevilla;6;1;M. Vazquez;;;;;;;;;;control
A;205944;Riparia riparia;9;4;1988;Alcolea del Rio;Alcolea del Rio;Sevilla;4;2;R. Carmona;;;;;;;;;;Anillamiento
C;205944;Riparia riparia;15;5;1988;La Isleta;Puebla del Rio;Sevilla;4;2;M. Vazquez;;;;;;;;;;control
A;229450;Riparia riparia;24;3;1988;Corta de la Cartuja;Sevilla;Sevilla;4;0;FG Vilches;;;;;;;;;;Anillamiento
C;229450;Riparia riparia;15;5;1988;La Isleta;Puebla del Rio;Sevilla;4;1;M. Vazquez;;;;;;;;;20;control
A;229775;Riparia riparia;27;3;1988;La Isleta;Puebla del Rio;Sevilla;4;0;M. Vazquez;;;;;;;;;;Anillamiento
C;229775;Riparia riparia;15;3;1988;San Jeronimo;Sevilla;Sevilla;4;2;FG Vilches;;;;;;;;;25;control
A;230029;Riparia riparia;31;3;1988;La Isleta;Puebla del Rio;Sevilla;4;0;M. Vazquez;;;;;;;;;;Anillamiento
C;230029;Riparia riparia;13;5;1988;San Jeronimo;Sevilla;Sevilla;4;2;FG Vilches;0;104;12.7;;;;;;25;control
A;233153;Riparia riparia;17;3;1988;Guillena;Guillena;Sevilla;4;0;FG Vilches;;;;;;;;;;Anillamiento
C;233153;Riparia riparia;27;3;1988;La Isleta;Puebla del Rio;Sevilla;4;2;M. Vazquez;4;;;;;;;;35;control
A;233445;Riparia riparia;19;3;1988;Garvera del Naranjal;Torre La Reina;Sevilla;4;0;FG Vilches;;;;;;;;;;Anillamiento
C;233445;Riparia riparia;15;5;1988;La Isleta;Puebla del Rio;Sevilla;4;1;M. Vazquez;1;;;;;;;;;control
A;233469;Riparia riparia;19;3;1988;Garvera del Naranjal;Torre La Reina;Sevilla;4;0;FG Vilches;;;;;;;;;;Anillamiento
C;233469;Riparia riparia;27;3;1988;La Isleta;Puebla del Rio;Sevilla;4;0;M. Vazquez;2;;;;;;;;;control
A;832112;Riparia riparia;14;8;1997;El Pantano;Los Palacios;Sevilla;2;0;M. Vazquez;;;;;;;;;;Anillamiento
C;832112;Riparia riparia;12;9;1997;Puebla del Rio;Puebla del Rio;Sevilla;2;0;GOSUR;;;;;;;;29;17;control
A;866873;Riparia riparia;12;9;1997;Puebla del Rio;Puebla del Rio;Sevilla;3;0;GOSUR;;;;;;;;;;Anillamiento
C;866873;Riparia riparia;22;8;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;4;0;M. Vazquez;;;;;;;;709;19;control
A;930992;Riparia riparia;11;9;1998;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;;;Anillamiento
C;930992;Riparia riparia;4;9;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;4;0;M. Vazquez;;;;;;;;358;19;control
A;AE2233;Riparia riparia;30;7;1999;El Convento;Las Cabezas de San Juan;Sevilla;4;0;GOSUR;;;;;;;;;;Anillamiento
C;AE2233;Riparia riparia;22;8;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;4;0;M. Vazquez;;;;;;;;23;19;control
A;AE2377;Riparia riparia;20;8;1999;El Convento;Las Cabezas de San Juan;Sevilla;4;0;GOSUR;;;;;;;;;;Anillamiento
C;AE2377;Riparia riparia;4;9;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;4;0;M. Vazquez;;;;;;;;15;19;control
A;AF9539;Riparia riparia;27;7;1999;Laguna de San Juan;Chinchon;Madrid;3;0;G Troglodytes;;;;;;;;;;Anillamiento
C;AF9539;Riparia riparia;4;9;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;4;0;M. Vazquez;;;;;;;;39;395;control
A;AH0659;Riparia riparia;5;9;1999;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;;;Anillamiento
C;AH0659;Riparia riparia;5;9;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;0;19;control
A;DM1512;Riparia riparia;11;8;2006;Caño Navarro;Coria del Rio;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;DM1512;Riparia riparia;19;8;2006;Cantaritas;Puebla del Rio;Sevilla;3;0;JL Arroyo;;;;;;;;8;18;control
A;223521;Hirundo rustica;18;8;1997;Hato Blanco;Aznalcazar;Sevilla;1;0;M. Vazquez;;;;;;;;;;Anillamiento
C;223521;Hirundo rustica;20;9;1997;Puebla del Rio;Puebla del Rio;Sevilla;3;0;Otro;;;;;;;;33;16;control
A;232835;Hirundo rustica;15;4;1988;Torrebalnca de los Caños;Sevilla;Sevilla;1;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;232835;Hirundo rustica;7;11;1991;Tarifa;Tarifa;Cadiz;2;0;Particular;;;;;;;;1297;154;Encontrada solo anilla
A;AC4253;Hirundo rustica;21;8;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;AC4253;Hirundo rustica;4;9;1999;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;14;19;control
A;AC4292;Hirundo rustica;21;8;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;AC4292;Hirundo rustica;8;8;2001;Cantaritas;Puebla del Rio;Sevilla;4;0;JL Arroyo;;;;;;;;717;35;control
A;AC5088;Hirundo rustica;21;8;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;AC5088;Hirundo rustica;3;9;1999;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;13;19;control
A;AC5514;Hirundo rustica;21;8;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;AC5514;Hirundo rustica;27;8;1999;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;6;19;control
A;AC5515;Hirundo rustica;21;8;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;AC5515;Hirundo rustica;3;9;1999;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;13;19;control
A;AC5563;Hirundo rustica;21;8;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;AC5563;Hirundo rustica;4;9;1999;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;14;19;control
A;AC5577;Hirundo rustica;21;8;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;AC5577;Hirundo rustica;4;9;1999;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;14;19;control
A;AE1102;Hirundo rustica;30;7;1999;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;;;Anillamiento
C;AE1102;Hirundo rustica;22;8;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;23;19;control
A;AE1167;Hirundo rustica;30;7;1999;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;;;Anillamiento
C;AE1167;Hirundo rustica;22;8;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;23;19;control
A;AF1147;Hirundo rustica;21;8;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;AF1147;Hirundo rustica;16;4;2000;Los Olivillos;Puebla del Rio;Sevilla;5;2;M. Vazquez;;;;;;;;;;control
A;L281438;Hirundo rustica;4;9;1999;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;;;Anillamiento
C;L281438;Hirundo rustica;4;9;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;0;19;control
A;L281479;Hirundo rustica;4;9;1999;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;;;Anillamiento
C;L281479;Hirundo rustica;4;9;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;0;19;control
A;L320051;Hirundo rustica;4;9;1999;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;;;Anillamiento
C;L320051;Hirundo rustica;4;9;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;0;19;control
A;L320057;Hirundo rustica;4;9;1999;El Convento;Las Cabezas de San Juan;Sevilla;3;0;GOSUR;;;;;;;;;;Anillamiento
C;L320057;Hirundo rustica;4;9;1999;Laguna Cerro de las Cigüeñas;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;0;19;control
A;L342691;Hirundo rustica;23;6;2003;Cañada de los Pajaros;Puebla del Rio;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;L342691;Hirundo rustica;11;3;2004;Peñon de Zapata;Alhaurin de la Torre;Malaga;4;0;SEO Malaga;;;;;;;;262;149;control
A;L453456;Hirundo rustica;13;6;2001;Cortijo Los Llanes;Almogia;Malaga;1;0;G Luscinia;;;;;;;;;;Anillamiento
C;L453456;Hirundo rustica;28;7;2001;Laguna del Gobierno;La Lantejuela;Sevilla;3;0;Zamalla;;;;;;;;45;83;control
A;269950;Motacilla alba;28;12;1988;C/ Sanchez Arjona;Sevilla;Sevilla;2;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;269950;Motacilla alba;4;2;1989;Caño Navarro;Coria del Rio;Sevilla;4;0;J Ayala;2;85;19;;;;;;;control
A;3063926;Upupa epops;12;8;1997;El Alcornocal;Los Palacios;Sevilla;3;0;M. Vazquez;;;;;;;;;;Anillamiento
C;3063926;Upupa epops;30;8;1997;Rio Lora;Los Palacios;Sevilla;3;0;GOSUR;;;;;;;;18;3;control
A;3118061;Cuculus canorus;15;7;1995;Dehesa La Romera;Los Palacios;Sevilla;2;0;EBD;;;;;;;;;;Anillamiento
C;3118061;Cuculus canorus;26;7;1995;Dehesa La Romera;Los Palacios;Sevilla;2;0;M. Vazquez;;;;;;;;;;Caido en un estanque
A;4026160;Cuculus canorus;11;5;1990;Los Palacios;Los Palacios;Sevilla;1;0;GOSUR;;;;;;;;;;Anillamiento
C;4026160;Cuculus canorus;9;6;1997;El Alcornocal;Los Palacios;Sevilla;A;0;M. Vazquez;;;;;;;;2586;2;control
A;4048425;Cuculus canorus;25;9;1994;La Rocina PND;Almonte;Huelva;4;2;EBD;;;;;;;;;;Anillamiento
C;4048425;Cuculus canorus;11;4;1996;El Rincon;Almonte;Huelva;8;0;M. Vazquez;;;;;;;;564;1;control
A;4054065;Cuculus canorus;1;7;1993;Los Palacios;Los Palacios;Sevilla;1;0;G Nevadensis;;;;;;;;;;Anillamiento
C;4054065;Cuculus canorus;20;5;1995;El Alcornocal;Los Palacios;Sevilla;7;0;M. Vazquez;;;;;;;;688;1;control
A;3037214;Glareola pratincola;4;6;1996;La Fao PND;Aznalcazar;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;3037214;Glareola pratincola;15;6;1996;La Fao PND;Aznalcazar;Sevilla;1;0;B Calvo;;;;;;;;;1;control
A;3037215;Glareola pratincola;4;6;1996;La Fao PND;Aznalcazar;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;3037215;Glareola pratincola;15;6;1996;La Fao PND;Aznalcazar;Sevilla;1;0;B Calvo;;;;;;;;;1;control
A;3037226;Glareola pratincola;9;7;1999;Los Olivillos;Puebla del Rio;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;3037226;Glareola pratincola;11;7;1999;Los Olivillos;Puebla del Rio;Sevilla;1;0;M. Vazquez;;;;;;;;2;1;control
A;3037228;Glareola pratincola;9;7;1999;Los Olivillos;Puebla del Rio;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;3037228;Glareola pratincola;11;7;1999;Los Olivillos;Puebla del Rio;Sevilla;1;0;M. Vazquez;;;;;;;;2;1;control
A;4090208;Tringa totanus;29;9;2000;Marismas del Odiel;Huelva;Huelva;4;0;JM Sayago;;;;;;;;;;Anillamiento
C;4090208;Tringa totanus;28;2;2001;Marismas del Odiel;Huelva;Huelva;4;0;M. Vazquez;;;;;;;;152;1;Capturada por buho o rapaz
A;B19663;Buteo buteo;26;11;2000;CREA San Jeronimo;Sevilla;Sevilla;3;0;SEO Sevilla;;;;;;;;;;Anillamiento
C;B19663;Buteo buteo;15;1;2001;El Alamillo;Sevilla;Sevilla;2;0;M. Vazquez;;;;;;;;50;5;Colision con tendido electrico
A;9015919;Ciconia ciconia;6;6;1993;El Bosque;El Bosque;Cadiz;1;0;O. del Junco;;;;;;;;;;Anillamiento
C;9015919;Ciconia ciconia;4;7;1994;Don Rodrigo;Los Palacios;Sevilla;5;0;M. Vazquez;;;;;;;;393;6;Cazada escopeta
A;9025606;Ciconia ciconia;9;5;1997;Dehesa de Abajo;Puebla del Rio;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;9025606;Ciconia ciconia;15;5;1998;Dehesa de Abajo;Puebla del Rio;Sevilla;2;0;M. Vazquez;;;;;;;;;1;Encontrada solo anilla
A;8002105;Ardea cinerea;15;8;1990;Cañada de los Pajaros;Puebla del Rio;Sevilla;2;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;8002105;Ardea cinerea;7;11;1991;Veta La Palma;Puebla del Rio;Sevilla;2;0;L. Garcia;;;;;;;;;;control
A;8002108;Ardea cinerea;30;8;1990;Cañada de los Pajaros;Puebla del Rio;Sevilla;2;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;8002108;Ardea cinerea;25;11;1993;Isla Mayor;Isla Mayor;Sevilla;2;0;ADENEX;;;;;;;;;;control
A;G09594;Ciconia ciconia;29;5;1986;Alcala de los Gazules;Alcala de los Gazules;Cadiz;1;0;O. del Junco;;;;;;;;;;Anillamiento
C;G09594;Ciconia ciconia;26;5;1994;Cañada de los Pajaros;Puebla del Rio;Sevilla;a;0;M. Vazquez;;;;;;;;;;Encontrada muerta
A;9004862;Ciconia ciconia;10;6;1992;Fuente Palmera;Fuente Palmera;Cordoba;1;0;FS Tortosa;;;;;;;;;;Anillamiento
