MODO;METAL;ESPECIE;DIA ;MES ;AÑO;LUGAR;MUNICIPIO ;PROVINCIA;EDAD;SEXO;ANILLADOR;Grasa;Ala;peso;tarso;pico;cola;Hora;Dias;Kms;Observaciones
A;9002767;Phoenicopterus ruber;25;6;1986;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;1;0;EBD;;;;;;;;;;Anillamiento
C;9002767;Phoenicopterus ruber;15;12;1989;Isla Mayor;Isla Mayor;Sevilla;9;0;M. Vazquez;;;;;;;;;;Cazada escopeta
A;9006385;Phoenicopterus ruber;21;8;1988;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;1;0;EBD;;;;;;;;;;Anillamiento
C;9006385;Phoenicopterus ruber;15;11;1988;Puebla del Rio;Puebla del Rio;Sevilla;3;0;M. Vazquez;;;;;;;;84;118;Encontrado muerto
A;9006672;Phoenicopterus ruber;23;8;1988;Laguna de Fuente de Piedra;Funtedepiedra;Malaga;1;0;EBD;;;;;;;;;;Anillamiento
C;9006672;Phoenicopterus ruber;1;3;1991;Puerto Real;Puerto Real;Cadiz;9;0;M.Vazquez;;;;;;;;;142;Encontrado muerto
A;9006894;Phoenicopterus ruber;23;8;1988;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;1;0;EBD;;;;;;;;;;Anillamiento
C;9006894;Phoenicopterus ruber;3;2;1989;Casudi;Puebla del Rio;Sevilla;3;0;M. Vazquez;;;;;;;;;;Cazada escopeta
A;9007111;Phoenicopterus ruber;21;8;1988;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;1;0;EBD;;;;;;;;;;Anillamiento
C;9007111;Phoenicopterus ruber;27;9;1988;Dos Hermanas;Dos Hermanas;Sevilla;3;0;M. Vazquez;;;;;;;;;;Cazada escopeta
A;9010216;Phoenicopterus ruber;18;8;1990;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;1;0;EBD;;;;;;;;;;Anillamiento
C;9010216;Phoenicopterus ruber;15;1;1991;Puebla del Rio;Puebla del Rio;Sevilla;3;0;M. Vazquez;;;;;;;;;;Encontrado muerto
A;9011751;Phoenicopterus ruber;20;7;1991;Laguna de Fuente de Piedra;Fuente de Piedra;Malaga;1;0;EBD;;;;;;;;;;Anillamiento
C;9011751;Phoenicopterus ruber;4;8;1991;Cañada de los Pajaros;Puebla del Rio;Sevilla;3;0;M. Vazquez;;;;;;;;;;Encontrado muerto
A;G02003;Phoenicopterus ruber;28;9;1984;Lucio del Buen Tiro PND;Aznalcazar;Sevilla;1;0;EBD;;;;;;;;;;Anillamiento
C;G02003;Phoenicopterus ruber;16;12;2000;Marismas del Odiel;Huelva;Huelva;A;0;Particular;;;;;;;;5923;57;Encontrado muerto
A;C04646;Platalea leucorodia;23;5;1970;Martinazo PND;Almonte;Huelva;1;0;PV. Belman;;;;;;;;;;Anillamiento
C;C04646;Platalea leucorodia;1;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Particular;;;;;;;;;;Cazada escopeta solo anilla
A;F01078;Platalea leucorodia;13;6;1966;Martinazo PND;Almonte;Huelva;1;0;EBD;;;;;;;;;;Anillamiento
C;F01078;Platalea leucorodia;1;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Particular;;;;;;;;;;Cazada escopeta solo anilla
A;F01465;Platalea leucorodia;11;6;1968;Martinazo PND;Almonte;Huelva;1;0;E. Mackrill;;;;;;;;;;Anillamiento
C;F01465;Platalea leucorodia;1;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Particular;;;;;;;;;;Cazada escopeta solo anilla
A;F01764;Platalea leucorodia;17;6;1969;La Aulaga PND;Almonte;Huelva;;;EBD;;;;;;;;;;Anillamiento
C;F01764;Platalea leucorodia;1;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Particular;;;;;;;;;;Cazada escopeta solo anilla
A;G04345;Platalea leucorodia;8;4;1983;Marismas del Odiel;Huelva;Huelva;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;G04345;Platalea leucorodia;1;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Particular;;;;;;;;;;Cazada escopeta solo anilla
A;G06032;Platalea leucorodia;8;4;1983;Marismas del Odiel;Huelva;Huelva;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;G06032;Platalea leucorodia;1;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Particular;;;;;;;;;;Cazada escopeta solo anilla
A;G08673;Platalea leucorodia;22;4;1987;Marismas del Odiel;Huelva;Huelva;1;0;EBD;;;;;;;;;;Anillamiento
C;G08673;Platalea leucorodia;20;10;1987;Las Nuevas PND;Doñana;Huelva;3;0;Particular;;;;;;;;;;Ala rota
A;G08904;Platalea leucorodia;8;4;1987;Marismas del Odiel;Huelva;Huelva;1;0;EBD;;;;;;;;;;Anillamiento
C;G08904;Platalea leucorodia;27;6;1987;Las Nuevas PND;Doñana;Huelva;3;0;Particular;;;;;;;;;;Cazada escopeta
A;G23028;Platalea leucorodia;26;5;1998;Ayamonte;Ayamonte;Huelva;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;G23028;Platalea leucorodia;1;8;1998;Laguna de los Tollos;El Cuervo;Sevilla;3;0;JA. Cabral;;;;;;;;68;125;Encontrado muerto
A;7062761;Plegadis falcinellus;23;5;2003;La Fao PND;Aznalcazar;Sevilla;1;0;L. Garcia;;;;;;;;;;Anillamiento
C;7062761;Plegadis falcinellus;15;12;2004;Puebla del Rio;Puebla del Rio;Sevilla;3;0;M.Vazquez;;;;;;;;572;24;Cazada escopeta
A;5096911;Tachibaptus ruficollis;11;8;2005;Veta La Palma;Puebla del Rio;Sevilla;3;0;JL. Valle;;;;;;;;;;Anillamiento
C;5096911;Tachibaptus ruficollis;29;8;2006;Moguer;Moguer;Huelva;5;0;M.Vazquez;;;;;;;;383;59;Encontrado muerto
A;6004230;Tachibaptus ruficollis;20;8;1985;Lucio del Buen Tiro PND;Doñana;Sevilla;1;0;P.Rodriguez;;;;;;;;;;Anillamiento
C;6004230;Tachibaptus ruficollis;24;4;1987;Aznalcazar;Aznalcazar;Sevilla;2;0;Cazador;;;;;;;;614;31;Cazada escopeta
A;G3349;Tachibaptus ruficollis;30;7;1968;Lucio Marilopez PND;Aznalcazar;Sevilla;1;0;P.Rodriguez;;;;;;;;;;Anillamiento
C;G3349;Tachibaptus ruficollis;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Cazador;;;;;;;;;25;Cazada escopeta solo anilla
A;D05757;Anas platyrhynchos;1;5;1965;RB Doñana;Almonte;Huelva;4;1;EBD;;;;;;;;;;Anillamiento
C;D05757;Anas platyrhynchos;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Cazador;;;;;;;;;;Cazada escopeta solo anilla
A;E22973;Anas platyrhynchos;10;7;1984;Caño Guadiamar PND;Almonte;Huelva;1;0;A. Herrera;;;;;;;;;;Anillamiento
C;E22973;Anas platyrhynchos;12;8;1987;Puebla del Rio;Puebla del Rio;Sevilla;9;0;Cazador;;;;;;;;;;Cazada escopeta
A;DE09420;Anas platyrhynchos;26;7;1971;Aznalcazar;Aznalcazar;Sevilla;1;2;P. Clarita;;;;;;;;;;Anillamiento
C;DE09420;Anas platyrhynchos;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Cazador;;;;;;;;;;Cazada escopeta solo anilla
A;DE12562;Anas platyrhynchos;16;7;1975;Veladero PND;Aznalcazar;Sevilla;1;0;M. Espinar;;;;;;;;;;Anillamiento
C;DE12562;Anas platyrhynchos;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Cazador;;;;;;;;;;Cazada escopeta solo anilla
A;DE20516;Anas platyrhynchos;26;6;1975;Veladero PND;Aznalcazar;Sevilla;1;1;P. Clarita;;;;;;;;;;Anillamiento
C;DE20516;Anas platyrhynchos;15;11;1981;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Cazador;;;;;;;;;;Cazada escopeta
A;DE25614;Anas platyrhynchos;2;6;1978;Lucio de Marilopez PND;Aznalcazar;Sevilla;1;1;P. Clarita;;;;;;;;;;Anillamiento
C;DE25614;Anas platyrhynchos;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Cazador;;;;;;;;;;Cazada escopeta solo anilla
A;DE29206;Anas platyrhynchos;30;6;1978;Lucio de Marilopez PND;Aznalcazar;Sevilla;4;2;P. Clarita;;;;;;;;;;Anillamiento
C;DE29206;Anas platyrhynchos;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Cazador;;;;;;;;;;Cazada escopeta solo anilla
A;H18319;Anas platyrhynchos;25;6;1972;Lucio Redondo PND;Aznalcazar;Sevilla;1;1;A. Sanchez;;;;;;;;;;Anillamiento
C;H18319;Anas platyrhynchos;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Cazador;;;;;;;;;;Cazada escopeta solo anilla
A;H18865;Anas platyrhynchos;6;7;1972;Caño Travieso PND;Aznalcazar;Sevilla;4;1;M. Espinar;;;;;;;;;;Anillamiento
C;H18865;Anas platyrhynchos;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Cazador;;;;;;;;;;Cazada escopeta solo anilla
A;H18754;Anas platyrhynchos;27;6;1972;Caño Travieso PND;Aznalcazar;Sevilla;1;2;M. Espinar;;;;;;;;;;Anillamiento
C;H18754;Anas platyrhynchos;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Cazador;;;;;;;;;;Cazada escopeta solo anilla
A;7004906;Anas platyrhynchos;3;6;1986;Lucio del Molino PND;Aznalcazar;Sevilla;1;2;A. Herrera;;;;;;;;;;Anillamiento
C;7004906;Anas platyrhynchos;15;8;1987;Puebla del Rio;Puebla del Rio;Sevilla;5;2;Cazador;;;;;;;;;;Cazada escopeta
A;7013573;Anas platyrhynchos;7;7;1986;Las Nuevas PND;Aznalcazar;Sevilla;2;0;PND;;;;;;;;;;Anillamiento
C;7013573;Anas platyrhynchos;23;10;1986;Cantaritas;Puebla del Rio;Sevilla;2;0;FG. Vilches;;;;;;;;;;Encontrado muerto
A;7014321;Anas platyrhynchos;25;6;1987;Caño Cardales PND;Aznalcazar;Sevilla;1;1;I. Fernandez;;;;;;;;;;Anillamiento
C;7014321;Anas platyrhynchos;5;7;1987;Lucio del Cangrejo PND;Aznalcazar;Sevilla;3;1;M. Vazquez;;;;;;;;;;Encontrado muerto
A;7015686;Anas platyrhynchos;6;6;1986;Lucio de la Piedra PND;Aznalcazar;Sevilla;4;2;A. Herrera;;;;;;;;;;Anillamiento
C;7015686;Anas platyrhynchos;15;11;1988;Puebla del Rio;Puebla del Rio;Sevilla;8;2;M. Vazquez;;;;;;;;;;Cazada escopeta
A;7015752;Anas platyrhynchos;12;6;1986;Caño Travieso PND;Aznalcazar;Sevilla;4;1;A. Herrera;;;;;;;;;;Anillamiento
C;7015752;Anas platyrhynchos;15;11;1988;Puebla del Rio;Puebla del Rio;Sevilla;8;2;M. Vazquez;;;;;;;;;;Cazada escopeta
