MODO,METAL,ESPECIE,DIA ,MES ,AÑO,LOCALIDAD,PAIS,EDAD,SEXO,ANILLADOR,Grasa,Ala,peso,tarso,pico,cola,Hora,Dias,Kms,Observaciones
C,7614,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,2369,2510,Cazado con escopeta fecha carta
A,9396,Anser anser,24,6,1988,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,2,0,Extranjero,,,,,,,,,,Anillamiento
C,9396,Anser anser,15,12,1988,"Isla Mayor, Sevilla",España,2,0,M. Vazquez,,,,,,,,200,2510,Cazado con escopeta
A,9608,Anser anser,13,6,1989,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,,,,,,,,,,Anillamiento
C,9608,Anser anser,15,12,1989,"Los Morenos, Puebla del Rio, Sevilla",España,3,1,M. Vazquez,,,,,,,,182,2479,Cazado con escopeta
A,BA01439,Anser anser,14,6,1981,"Rez Slonsk , Gorzow Wielkopolski",Polonia,2,0,Extranjero,,,,,,,,,,Anillamiento
C,BA01439,Anser anser,8,12,1989,"Cantaritas, Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,3094,2352,Cazado con escopeta
A,BA01699,Anser anser,20,6,1982,"Rez Slonsk , Gorzow Wielkopolski",Polonia,1,0,Extranjero,,,,,,,,,,Anillamiento
C,BA01699,Anser anser,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,2730,2365,Cazado con escopeta fecha carta
A,BA01014,Anser anser,15,6,1979,"Rez Slonsk , Gorzow Wielkopolski",Polonia,5,1,Extranjero,,,,,,,,,,Anillamiento
C,BA01014,Anser anser,6,2,1980,"Aznalcazar, Sevilla",España,7,0,M. Vazquez,,,,,,,,,2365,Cazado con escopeta
A,9226992,Anser anser,29,6,1986,"Sverigen, M Skame, Malmohus",Suecia,6,1,Extranjero,,,,,,,,,,Anillamiento
C,9226992,Anser anser,15,1,1988,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,566,2498,Cazado con escopeta
A,9232310,Anser anser,12,6,1988,"Borringesjon, Malmohus",Suecia,3,1,Extranjero,,,,,,,,,,Anillamiento
C,9232310,Anser anser,15,11,1988,"Cantaritas, Puebla del Rio, Sevilla",España,3,0,M. Vazquez,,,,,,,,153,2501,Cazado con escopeta
A,9232322,Anser anser,12,6,1988,"Borringesjon, Malmohus",Suecia,3,2,Extranjero,,,,,,,,,,Anillamiento
C,9232322,Anser anser,15,11,1988,"Cantaritas, Puebla del Rio, Sevilla",España,3,0,M. Vazquez,,,,,,,,153,2501,Cazado con escopeta
A,9233072,Anser anser,18,6,1989,"Sverigen, M Skame, Malmohus",Suecia,3,0,Extranjero,,,,,,,,,,Anillamiento
C,9233072,Anser anser,17,12,1989,"Sanlucar de Barrameda, Cadiz",España,3,0,M. Vazquez,,,,,,,,,,Cazado con escopeta
A,9803229,Anser anser,19,6,1970,"Sverigen, Gotland Rone, Ytterholme",Suecia,3,0,Extranjero,,,,,,,,,,Anillamiento
C,9803229,Anser anser,15,1,1981,"Aznalcazar, Sevilla",España,A,0,M. Vazquez,,,,,,,,,,Cazado con escopeta
A,9804702,Anser anser,17,7,1983,"Sverigen, D´Soder, Mohlland",Suecia,2,0,Extranjero,,,,,,,,,,Anillamiento
C,9804702,Anser anser,15,1,1987,"Marisma de Hinojos, Hinojos, Huelva",España,A,0,M. Vazquez,,,,,,,,,,Cazado con escopeta
A,XEA,Anser anser,4,6,1989,"Borringesjon, Malmohus",Suecia,1,0,Extranjero,,,,,,,,,,Anillamiento
C,XEA,Anser anser,15,12,1989,"Sanlucar de Barrameda, Cadiz",España,3,0,M. Vazquez,,,,,,,,,,Cazado con escopeta
A,CA38659,Ardea cinerea,6,5,1978,"Lac de Grand Lieu, Loire Atlantique",España,3,0,MMP et L Marion,,,,,,,,,,Anillamiento
C,CA38659,Ardea cinerea,1,2,1981,"Lucio del cangrejo, Aznalcazar, Sevilla",Francia,A,0,M. Vazquez,,,,,,,,,,Cazado con escopeta
A,B26502,Ardea cinerea,14,5,1988,"Branna, Jjndrichov Hradec, Ceske Budejovice",Checoslovaquia,1,0,M. Vazquez,,,,,,,,,,Anillamiento
C,B26502,Ardea cinerea,15,9,1988,"Lebrija, Sevilla",España,3,0,Extranjero,,,,,,,,121,2157,Colision con tendido electrico
A,231722,Ardea cinerea,22,5,1988,"Koerkwitz, Ribnitz, Damgarten Rostock",Alemania,1,0,M. Vazquez,,,,,,,,,,Anillamiento
C,231722,Ardea cinerea,30,9,1988,"Caño del Cherri, Aznalcar, Sevilla",España,3,0,Extranjero,,,,,,,,,,Anillamiento
A,M10463,Bubulcus ibis,25,5,1993,"Castro Marin, Algarve",Portugal,1,0,Extranjero,,,,,,,,,,Anillamiento
C,M10463,Bubulcus ibis,30,8,1993,"Coria del Rio, Sevilla",España,3,0,M. Vazquez,,,,,,,,95,122,Cazado con escopeta
