CodigoGrupo,NombreGrupo,Anilla,InfoAnilla,AnillaSustituida,NombreEspecie,CodigoEspecie,FechaCaptura,HoraCaptura,CodigoEdad,CodigoSexo,CodigoModoStatus,NombreLocalidad,MUNICIPIO,CodigoLocalidad,CodigoPROVINCIA,Observaciones,CodigoHabitat,CodigoMetodo,NumRedes,LongitudRed,HoraDesde,HoraHasta,Campanna,CodigoEstacion,MannanaCodigoFuerza,MannanaCodigoDireccion,MannanaCodigoNubosidad,MannanaCodigoLluvia,TardeCodigoFuerza,TardeCodigoDireccion,TardeCodigoNubosidad,TardeCodigoLluvia,PVC,MARCA,Color Marca,Color Digitos,Dato5,Dato6,Parentesco,TipoRegistro,CodigoCentro,CodigoCondicion,CodigoCircunstancia,CodigoReclamo,Ala,F8,Peso,Tarso,CodigoPlaca,CodigoGrasa,CodigoMusculo,CodigoPrecision,CodigoEstado,CodigoTamañoNidada,CodigoMuda,Manipulacion,Transporte,IniAnillador
660130,FRANCISCO JAMARDO SANCHEZ,DT7835,2,,Serinus serinus,16400,24/12/07,----,3,1,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7836,2,,Serinus serinus,16400,24/12/07,----,4,1,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7837,2,,Serinus serinus,16400,24/12/07,----,3,1,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7838,2,,Serinus serinus,16400,24/12/07,----,2,1,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7839,2,,Serinus serinus,16400,24/12/07,----,3,2,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7840,2,,Serinus serinus,16400,24/12/07,----,3,2,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7841,2,,Serinus serinus,16400,24/12/07,----,3,2,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7842,2,,Serinus serinus,16400,24/12/07,----,4,1,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7843,2,,Serinus serinus,16400,24/12/07,----,4,1,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
660130,FRANCISCO JAMARDO SANCHEZ,DT7844,2,,Serinus serinus,16400,24/12/07,----,3,2,U,Dehesa La Atalaya,Coria del Río,ES66941,,,B2,A,,,0:00,0:00,,,,,,,,,,,,,,,,,,A,ESI,,,U,,,,,,,,,,,,,,
