MODO,METAL,NOMBRE_COMUN,ESPECIE,FAMILIA,ORDEN,GRUPO,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Grasa,Ala,peso,tarso,pico,cola,Hora,Dias,Kms,Observaciones,FECHA
A,7056853,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,31,10,1999,Veta La Palma,Puebla del Rio,Sevilla,4,1.0,I. Barroso,,,,,,,,,,anillamiento,10/31/1999
C,7056853,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,6,2005,Trebujena,Trebujena,Cadiz,A,0.0,M.Vazquez,,,,,,,,2054.0,26.0,muerto,06/15/2005
A,7057927,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,6,8,1999,Veta La Palma,Puebla del Rio,Sevilla,6,1.0,EBD,,,,,,,,,,anillamiento,08/06/1999
C,7057927,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,11,2002,Bonanza,Sanlucar de Barrameda,Cadiz,A,0.0,M.Vazquez,,,,,,,,1197.0,45.0,control,11/15/2002
A,7057985,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,5,8,1999,Veta La Palma,Puebla del Rio,Sevilla,6,2.0,L. Garcia,,,,,,,,,,anillamiento,08/05/1999
C,7057985,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,11,2004,Trebujena,Trebujena,Cadiz,A,0.0,M.Vazquez,,,,,,,,1929.0,26.0,control,11/15/2004
A,7059054,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,10,9,1999,PN Tablas de Daimiel,Daimiel,Ciudad Real,4,1.0,GO Alcazar,,,,,,,,,,anillamiento,09/10/1999
C,7059054,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,9,6,2006,Alcolea del Rio,Alcolea del Rio,Sevilla,A,0.0,M.Vazquez,,,,,,,,2464.0,238.0,control,06/09/2006
A,7060401,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,7,10,2002,Laguna del Gobierno,Lantejuela,Sevilla,4,1.0,M.Vazquez,,,,,,,,,,anillamiento,10/07/2002
C,7060401,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,1,2003,Marchena,Marchena,Sevilla,6,1.0,Particular,,,,,,,,100.0,12.0,muerto,01/15/2003
A,9045353,Gray Heron,Ardea cinerea,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",23,5,2006,Zalamea La Real,Zalamea La Real,Huelva,1,0.0,R. Olivares,,,,,,,,,,anillamiento,05/23/2006
