"MODO","METAL","NOMBRE_COMUN","ESPECIE","FAMILIA","ORDEN","GRUPO","DIA","MES","AÑO","LOCALIDAD","PAIS","EDAD","SEXO","ANILLADOR","Grasa","Ala","peso","tarso","pico","cola","Hora","Dias","Kms","Observaciones","FECHA","LATITUD","LONGITUD"
"C","208740","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1989,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,5212,2439,"muerto","12/15/1989",37.2694065,-6.063133
"A","212403","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",9,5,1977,"Guelper, SE Postdam","Alemania","1",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","05/09/1977",NA,NA
"C","212403","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1989,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,4596,2362,"muerto","12/15/1989",37.2694065,-6.063133
"A","215737","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",27,6,1981,"Guelper, Rathenow Postdam","Alemania","3",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/27/1981",52.3905689,13.0644729
"C","215737","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1987,"Cantaritas, Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,2358,2237,"muerto","12/15/1987",37.2694065,-6.063133
"A","220744","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",28,8,1985,"Guelper, Rathenow Postdam","Alemania","6",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","08/28/1985",52.3905689,13.0644729
"C","220744","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,11,1988,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,1176,2231,"muerto","11/15/1988",37.2694065,-6.063133
"A","254997","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",21,6,1978,"Bosau, Schleswig, Holstein","Alemania","1",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/21/1978",54.1065938,10.430204
"C","254997","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",10,11,1988,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,3789,2259,"muerto","11/10/1988",37.2694065,-6.063133
"A","292494","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",11,6,1960,"Utterslev Mose, Cophenage Seeland, Mon Saltholm","Dinamarca","1",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/11/1960",55.7174179,12.5067223
"C","292494","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1989,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,10769,2510,"muerto","12/15/1989",37.2694065,-6.063133
"A","1801","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",23,6,1964,"Utterslev Mose, Cophenage Seeland, Mon Saltholm","Dinamarca","1",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/23/1964",55.7174179,12.5067223
"C","1801","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1989,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,9297,2510,"muerto","12/15/1989",37.2694065,-6.063133
"A","2412","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",18,6,1971,"Kags Mose, Cophenage Seeland, Mon Saltholm","Dinamarca","1",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/18/1971",55.634077,12.7594539
"C","2412","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1989,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,6747,2508,"muerto","12/15/1989",37.2694065,-6.063133
"A","2485","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",19,6,1972,"Utterslev Mose, Maribo, Falster Lolland","Dinamarca","2",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/19/1972",54.774717,11.50737
"C","2485","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1989,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,6381,2403,"muerto","12/15/1989",37.2694065,-6.063133
"A","4392","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",14,6,1978,"Utterslev Mose, Maribo, Falster Lolland","Dinamarca","2",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/14/1978",54.774717,11.50737
"C","4392","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1989,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,4196,2389,"muerto","12/15/1989",37.2694065,-6.063133
"A","4411","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",14,6,1978,"Utterslev Mose,  Seeland","Dinamarca","3",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/14/1978",55.7174179,12.5067223
"C","4411","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1981,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,NA,NA,"muerto","12/15/1981",37.2694065,-6.063133
"A","7083","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",17,6,1981,"Utterslev Mose, Cophenage Seeland, Mon Saltholm","Dinamarca","1",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/17/1981",55.7174179,12.5067223
"C","7083","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1989,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,2510,3098,"muerto","12/15/1989",37.2694065,-6.063133
"A","7360","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",22,6,1984,"Utterslev Mose,  Seeland, Mon Saltholm","Dinamarca","6",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/22/1984",55.7144671,12.4960464
"C","7360","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",17,12,1989,"Cantaritas, Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,2000,2484,"muerto","12/17/1989",37.2694065,-6.063133
"A","7395","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",18,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm","Dinamarca","1",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/18/1985",55.7144671,12.4960464
"C","7395","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,1,1988,"Almonte, Huelva","España","9",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,942,2499,"muerto","01/15/1988",37.2596578,-6.5169753
"A","7409","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",18,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm","Dinamarca","1",2,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/18/1985",55.7144671,12.4960464
"C","7409","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,1,1987,"Marisma de Hinojos, Hinojos, Huelva","España","7",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,577,2490,"muerto","01/15/1987",37.0666667,-6.4166667
"A","7431","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",18,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm","Dinamarca","6",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/18/1985",55.7144671,12.4960464
"C","7431","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,1,1988,"Almonte, Huelva","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,942,2499,"muerto","01/15/1988",37.2596578,-6.5169753
"A","7490","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",19,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm","Dinamarca","3",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/19/1985",55.7144671,12.4960464
"C","7490","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",12,11,1989,"Cantaritas, Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,1603,2484,"muerto","11/12/1989",37.2694065,-6.063133
"A","7614","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",16,6,1983,"Utterslev Mose, Cophenage Seeland, Mon Saltholm","Dinamarca","1",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/16/1983",55.7174179,12.5067223
"C","7614","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1989,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,2369,2510,"muerto","12/15/1989",37.2694065,-6.063133
"A","9396","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",24,6,1988,"Utterslev Mose,  Seeland, Mon Saltholm","Dinamarca","2",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/24/1988",55.7144671,12.4960464
"C","9396","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1988,"Isla Mayor, Sevilla","España","2",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,200,2510,"muerto","12/15/1988",37.1332508,-6.1658351
"A","9608","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",13,6,1989,"Utterslev Mose,  Seeland, Mon Saltholm","Dinamarca","1",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/13/1989",55.7144671,12.4960464
"C","9608","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1989,"Los Morenos, Puebla del Rio, Sevilla","España","3",1,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,182,2479,"muerto","12/15/1989",37.2694065,-6.063133
"A","BA01439","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",14,6,1981,"Rez Slonsk , Gorzow Wielkopolski","Polonia","2",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/14/1981",52.7325285,15.2369305
"C","BA01439","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",8,12,1989,"Cantaritas, Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,3094,2352,"muerto","12/08/1989",37.2694065,-6.063133
"A","BA01699","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",20,6,1982,"Rez Slonsk , Gorzow Wielkopolski","Polonia","1",0,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/20/1982",52.7325285,15.2369305
"C","BA01699","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,12,1989,"Puebla del Rio, Sevilla","España","A",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,2730,2365,"muerto","12/15/1989",37.2694065,-6.063133
"A","BA01014","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",15,6,1979,"Rez Slonsk , Gorzow Wielkopolski","Polonia","5",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/15/1979",52.7325285,15.2369305
"C","BA01014","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",6,2,1980,"Aznalcazar, Sevilla","España","7",0,"M. Vazquez",NA,NA,NA,NA,NA,NA,NA,NA,2365,"muerto","02/06/1980",37.3047112,-6.2495425
"A","9226992","Graylag Goose","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Anseriformes","Waterfowl",29,6,1986,"Sverigen, M Skame, Malmohus","Suecia","6",1,"Extranjero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anillamiento","06/29/1986",55.9902572,13.5957692
