MODO,METAL,ESPECIE,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple
C,3006341,Turdus merula,22,12,1995,Puente de la Canariega,Almonte,Huelva,2,0,Zamalla,NA,1,Atropellado,1995-12-22,muerto
A,3027888,Turdus philomelos,28,1,1989,Huerta El Torno,Dos Hermanas,,4,0,M. Vazquez,NA,NA,Anillamiento,1989-01-28,anillamiento
C,3027888,Turdus philomelos,26,2,1989,Trigueros,Trigueros,Huelva,4,0,Particular,28,82,Cazado con escopeta,1989-02-26,muerto
A,3260427,Turdus philomelos,10,3,2005,El Alamillo,Sevilla,Sevilla,4,0,M. Vazquez,NA,NA,Anillamiento,2005-03-10,anillamiento
C,3260427,Turdus philomelos,6,11,2005,Andoain,Andoain,Guipuzcoa,4,0,Particular,241,729,Cazado con escopeta,2005-11-06,muerto
A,3260505,Turdus philomelos,12,11,2005,Marismas del Odiel,Huelva,Huelva,3,0,M. Vazquez,NA,NA,Anillamiento,2005-11-12,anillamiento
C,3260505,Turdus philomelos,28,1,2006,Bonares,Bonares,Huelva,2,0,JM Sayago,77,21,Cazado con escopeta,2006-01-28,muerto
A,19851,Parus caeruelus,16,8,1986,Montalban,Montalban,Toledo,3,0,G Atthis,NA,NA,Anillamiento,1986-08-16,anillamiento
C,19851,Parus caeruelus,1,11,1986,Puebla del Rio,Puebla del Rio,Sevilla,2,0,M. Vazquez,75,602,Cazado,1986-11-01,muerto
A,772541,Parus caeruelus,7,10,1995,La Rocina PND,Almonte,Huelva,3,1,PND,NA,NA,Anillamiento,1995-10-07,anillamiento
C,772541,Parus caeruelus,10,2,1997,El Rincon,Almonte,Huelva,4,0,M. Vazquez,492,5,control,1997-02-10,control
A,701813,Aegithalos caudatus,27,10,1993,PN Doñana,Almonte,Huelva,2,0,PND,NA,NA,Anillamiento,1993-10-27,anillamiento
C,701813,Aegithalos caudatus,25,8,1994,Manecorro PN Doñana,Almonte,Huelva,2,0,M. Vazquez,302,1,control,1994-08-25,control
A,L097695,Parus major,16,9,1996,PN Doñana,Almonte,Huelva,4,2,PND,NA,NA,Anillamiento,1996-09-16,anillamiento
C,L097695,Parus major,19,11,1996,Manecorro PN Doñana,Almonte,Huelva,4,0,M. Vazquez,64,1,control,1996-11-19,control
A,2373032,Passer domesticus,20,2,1991,Caño Guadiamar PND,Aznalcazar,Sevilla,4,1,F. Ibañez,NA,NA,Anillamiento,1991-02-20,anillamiento
C,2373032,Passer domesticus,15,10,1991,Isla Mayor,Isla Mayor,Sevilla,2,0,M. Vazquez,237,48,Cazada,1991-10-15,muerto
A,2373239,Passer domesticus,30,9,1991,Lucio Marilopez PND,Aznalcazar,Sevilla,4,2,F. Ibañez,NA,NA,Anillamiento,1991-09-30,anillamiento
C,2373239,Passer domesticus,15,10,1991,Isla Mayor,Isla Mayor,Sevilla,2,0,M. Vazquez,15,36,Cazada,1991-10-15,muerto
A,2168890,Passer montanus,14,3,1989,La Estrella,Palomares del Rio,Sevilla,2,0,M. Vazquez,NA,NA,Anillamiento,1989-03-14,anillamiento
C,2168890,Passer montanus,19,7,1989,Huerta del Majano,Coria del Rio,Sevilla,2,0,Cazador,NA,10,Cazada con escopeta,1989-07-19,muerto
A,2035346,Passer domesticus,20,8,1987,Las Higueras,Coria del Rio,Sevilla,3,2,M. Vazquez,NA,NA,Anillamiento,1987-08-20,anillamiento
C,2035346,Passer domesticus,15,12,1987,Coria del Rio,Coria del Rio,Sevilla,2,0,Cazador,NA,2,Cazada,1987-12-15,muerto
A,2168687,Passer domesticus,19,6,1988,Huerta Daniel,Puebla del Rio,Sevilla,4,1,M. Vazquez,NA,NA,Anillamiento,1988-06-19,anillamiento
C,2168687,Passer domesticus,25,10,1988,Los Olmasos,Puebla del Rio,Sevilla,2,0,Cazador,NA,6,Cazada,1988-10-25,muerto
A,2222531,Passer domesticus,29,6,1988,Fuentes,Puebla del Rio,Sevilla,3,0,M. Vazquez,NA,NA,Anillamiento,1988-06-29,anillamiento
C,2222531,Passer domesticus,25,10,1988,Los Olmasos,Puebla del Rio,Sevilla,2,0,Cazador,NA,15,Cazada,1988-10-25,muerto
A,2372611,Passer domesticus,8,9,1991,Cantera del Duende,El Rubio,Sevilla,4,2,M. Vazquez,NA,NA,Anillamiento,1991-09-08,anillamiento
C,2372611,Passer domesticus,3,3,1992,Cortijo Molino del Marques,El Rubio,Sevilla,2,0,Cazador,NA,5,Cazada,1992-03-03,muerto
A,2286700,Passer domesticus,26,1,1991,Cantera del Duende,El Rubio,Sevilla,4,1,M. Vazquez,NA,NA,Anillamiento,1991-01-26,anillamiento
C,2286700,Passer domesticus,3,3,1992,Cortijo Molino del Marques,El Rubio,Sevilla,2,0,Cazador,NA,5,Cazada,1992-03-03,muerto
A,2372651,Passer domesticus,8,9,1991,Cantera del Duende,El Rubio,Sevilla,3,2,M. Vazquez,NA,NA,Anillamiento,1991-09-08,anillamiento
C,2372651,Passer domesticus,19,7,2000,Cortijo Los Frailes,Marchena,Sevilla,2,0,M. Vega,3235,37,Encontrada solo anilla,2000-07-19,muerto
A,2372655,Passer domesticus,8,9,1991,Cantera del Duende,El Rubio,Sevilla,4,2,M. Vazquez,NA,NA,Anillamiento,1991-09-08,anillamiento
C,2372655,Passer domesticus,10,1,1992,Herriza los Almendros,El Rubio,Sevilla,2,0,Cazador,NA,4,Cazada con escopeta,1992-01-10,muerto
A,2811176,Passer domesticus,3,9,1999,Manecorro PN Doñana,Almonte,Huelva,3,2,M. Vazquez,NA,NA,Anillamiento,1999-09-03,anillamiento
C,2811176,Passer domesticus,15,9,1999,El Rocio,Almonte,Huelva,2,0,EBD,12,3,Encotrado muerto,1999-09-15,muerto
A,2359302,Passer domesticus,15,8,1996,Rio Lora,Los Palacios,Sevilla,4,2,GOSUR,NA,NA,Anillamiento,1996-08-15,anillamiento
C,2359302,Passer domesticus,25,5,2000,El Alcornocal,Los Palacios,Sevilla,4,2,M. Vazquez,1379,3,control,2000-05-25,control
A,2203968,Passer hispaniolensis,25,2,2001,Laguna del Gobierno,Lantejuela,Sevilla,4,1,Zamalla,NA,NA,Anillamiento,2001-02-25,anillamiento
