MODO,METAL,ESPECIE,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple
A,6022851,Egretta garcetta,3,10,1990,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0,P.Rodriguez,NA,NA,Anillamiento,1990-10-03,anillamiento
C,6022851,Egretta garcetta,11,12,1992,Almodovar del Rio,Almodovar del Rio,Cordoba,2,0,Particular,800,110,Encontrado muerto,1992-12-11,muerto
A,6040616,Egretta garcetta,17,7,1988,Corta de la Isleta,Puebla del Rio,Sevilla,1,0,Catedra de Vertebrados,NA,NA,Anillamiento,1988-07-17,anillamiento
C,6040616,Egretta garcetta,2,11,1988,Lebrija,Lebrija,Sevilla,3,0,M.Vazquez,105,40,Cazada escopeta,1988-11-02,muerto
A,6050205,Egretta garcetta,7,7,1989,Corta de la Isleta,Puebla del Rio,Sevilla,1,0,Catedra de Vertebrados,NA,NA,Anillamiento,1989-07-07,anillamiento
C,6050205,Egretta garcetta,15,12,1989,Lebrija,Lebrija,Sevilla,3,0,M.Vazquez,158,49,Cazada escopeta,1989-12-15,muerto
A,DE08298,Egretta garcetta,22,7,1971,La Rocina PND,El Rocio,Huelva,1,0,EBD,NA,NA,Anillamiento,1971-07-22,anillamiento
C,DE08298,Egretta garcetta,1,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,M.Vazquez,NA,NA,Cazada escopeta solo anilla,1989-12-01,muerto
A,5080412,Falco tinnunculus,6,2,2004,La Fao PND,Aznalcazar,Sevilla,5,1,JL del Valle,NA,NA,Anillamiento,2004-02-06,anillamiento
C,5080412,Falco tinnunculus,23,1,2007,Caracoles,Aznalcazar,Sevilla,6,2,M.Vazquez,1082,2,control,2007-01-23,control
A,5080459,Falco tinnunculus,20,12,2004,La Fao PND,Aznalcazar,Sevilla,5,1,JL del Valle,NA,NA,Anillamiento,2004-12-20,anillamiento
C,5080459,Falco tinnunculus,23,1,2007,Caracoles,Aznalcazar,Sevilla,6,1,M.Vazquez,764,2,control,2007-01-23,control
A,1006016,Phoenicopterus ruber,15,8,1998,Laguna de Fuente de Piedra,Funtedepiedra,Malaga,1,0,EBD,NA,NA,Anillamiento,1998-08-15,anillamiento
C,1006016,Phoenicopterus ruber,15,12,2002,El Puerto de Santa Maria,El Puerto de Santa Maria,Cadiz,A,0,EBD,1583,142,Colision con tendido electrico,2002-12-15,muerto
A,9001910,Phoenicopterus ruber,17,6,1987,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,NA,NA,Anillamiento,1987-06-17,anillamiento
C,9001910,Phoenicopterus ruber,15,7,1987,Las Nuevas PND,Doñana,Huelva,3,0,Particular,NA,NA,Cazada escopeta,1987-07-15,muerto
A,9002447,Phoenicopterus ruber,17,6,1987,Laguna de Fuente de Piedra,Funtedepiedra,Malaga,1,0,EBD,NA,NA,Anillamiento,1987-06-17,anillamiento
C,9002447,Phoenicopterus ruber,1,12,2000,Bonanza,Sanlucar de Barrameda,Cadiz,A,0,M.Vazquez,4916,147,Cazada escopeta,2000-12-01,muerto
A,9002767,Phoenicopterus ruber,25,6,1986,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,NA,NA,Anillamiento,1986-06-25,anillamiento
C,9002767,Phoenicopterus ruber,15,12,1989,Isla Mayor,Isla Mayor,Sevilla,9,0,M. Vazquez,NA,NA,Cazada escopeta,1989-12-15,muerto
A,9006385,Phoenicopterus ruber,21,8,1988,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,NA,NA,Anillamiento,1988-08-21,anillamiento
C,9006385,Phoenicopterus ruber,15,11,1988,Puebla del Rio,Puebla del Rio,Sevilla,3,0,M. Vazquez,84,118,Encontrado muerto,1988-11-15,muerto
A,9006672,Phoenicopterus ruber,23,8,1988,Laguna de Fuente de Piedra,Funtedepiedra,Malaga,1,0,EBD,NA,NA,Anillamiento,1988-08-23,anillamiento
C,9006672,Phoenicopterus ruber,1,3,1991,Puerto Real,Puerto Real,Cadiz,9,0,M.Vazquez,NA,142,Encontrado muerto,1991-03-01,muerto
A,9006894,Phoenicopterus ruber,23,8,1988,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,NA,NA,Anillamiento,1988-08-23,anillamiento
C,9006894,Phoenicopterus ruber,3,2,1989,Casudi,Puebla del Rio,Sevilla,3,0,M. Vazquez,NA,NA,Cazada escopeta,1989-02-03,muerto
A,9007111,Phoenicopterus ruber,21,8,1988,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,NA,NA,Anillamiento,1988-08-21,anillamiento
C,9007111,Phoenicopterus ruber,27,9,1988,Dos Hermanas,Dos Hermanas,Sevilla,3,0,M. Vazquez,NA,NA,Cazada escopeta,1988-09-27,muerto
A,9010216,Phoenicopterus ruber,18,8,1990,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,NA,NA,Anillamiento,1990-08-18,anillamiento
C,9010216,Phoenicopterus ruber,15,1,1991,Puebla del Rio,Puebla del Rio,Sevilla,3,0,M. Vazquez,NA,NA,Encontrado muerto,1991-01-15,muerto
A,9011751,Phoenicopterus ruber,20,7,1991,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,NA,NA,Anillamiento,1991-07-20,anillamiento
C,9011751,Phoenicopterus ruber,4,8,1991,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0,M. Vazquez,NA,NA,Encontrado muerto,1991-08-04,muerto
A,G02003,Phoenicopterus ruber,28,9,1984,Lucio del Buen Tiro PND,Aznalcazar,Sevilla,1,0,EBD,NA,NA,Anillamiento,1984-09-28,anillamiento
C,G02003,Phoenicopterus ruber,16,12,2000,Marismas del Odiel,Huelva,Huelva,A,0,Particular,5923,57,Encontrado muerto,2000-12-16,muerto
A,C04646,Platalea leucorodia,23,5,1970,Martinazo PND,Almonte,Huelva,1,0,PV. Belman,NA,NA,Anillamiento,1970-05-23,anillamiento
C,C04646,Platalea leucorodia,1,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Particular,NA,NA,Cazada escopeta solo anilla,1989-12-01,muerto
A,F01078,Platalea leucorodia,13,6,1966,Martinazo PND,Almonte,Huelva,1,0,EBD,NA,NA,Anillamiento,1966-06-13,anillamiento
C,F01078,Platalea leucorodia,1,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Particular,NA,NA,Cazada escopeta solo anilla,1989-12-01,muerto
A,F01465,Platalea leucorodia,11,6,1968,Martinazo PND,Almonte,Huelva,1,0,E. Mackrill,NA,NA,Anillamiento,1968-06-11,anillamiento
C,F01465,Platalea leucorodia,1,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Particular,NA,NA,Cazada escopeta solo anilla,1989-12-01,muerto
A,F01764,Platalea leucorodia,17,6,1969,La Aulaga PND,Almonte,Huelva,,NA,EBD,NA,NA,Anillamiento,1969-06-17,anillamiento
C,F01764,Platalea leucorodia,1,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Particular,NA,NA,Cazada escopeta solo anilla,1989-12-01,muerto
A,G04345,Platalea leucorodia,8,4,1983,Marismas del Odiel,Huelva,Huelva,1,0,L. Garcia,NA,NA,Anillamiento,1983-04-08,anillamiento
C,G04345,Platalea leucorodia,1,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Particular,NA,NA,Cazada escopeta solo anilla,1989-12-01,muerto
A,G06032,Platalea leucorodia,8,4,1983,Marismas del Odiel,Huelva,Huelva,1,0,L. Garcia,NA,NA,Anillamiento,1983-04-08,anillamiento
C,G06032,Platalea leucorodia,1,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Particular,NA,NA,Cazada escopeta solo anilla,1989-12-01,muerto
A,G08673,Platalea leucorodia,22,4,1987,Marismas del Odiel,Huelva,Huelva,1,0,EBD,NA,NA,Anillamiento,1987-04-22,anillamiento
C,G08673,Platalea leucorodia,20,10,1987,Las Nuevas PND,Doñana,Huelva,3,0,Particular,NA,NA,Ala rota,1987-10-20,control
A,G08904,Platalea leucorodia,8,4,1987,Marismas del Odiel,Huelva,Huelva,1,0,EBD,NA,NA,Anillamiento,1987-04-08,anillamiento
C,G08904,Platalea leucorodia,27,6,1987,Las Nuevas PND,Doñana,Huelva,3,0,Particular,NA,NA,Cazada escopeta,1987-06-27,muerto
A,G23028,Platalea leucorodia,26,5,1998,Ayamonte,Ayamonte,Huelva,1,0,L. Garcia,NA,NA,Anillamiento,1998-05-26,anillamiento
C,G23028,Platalea leucorodia,1,8,1998,Laguna de los Tollos,El Cuervo,Sevilla,3,0,JA. Cabral,68,125,Encontrado muerto,1998-08-01,muerto
A,7062761,Plegadis falcinellus,23,5,2003,La Fao PND,Aznalcazar,Sevilla,1,0,L. Garcia,NA,NA,Anillamiento,2003-05-23,anillamiento
C,7062761,Plegadis falcinellus,15,12,2004,Puebla del Rio,Puebla del Rio,Sevilla,3,0,M.Vazquez,572,24,Cazada escopeta,2004-12-15,muerto
A,5096911,Tachibaptus ruficollis,11,8,2005,Veta La Palma,Puebla del Rio,Sevilla,3,0,JL. Valle,NA,NA,Anillamiento,2005-08-11,anillamiento
C,5096911,Tachibaptus ruficollis,29,8,2006,Moguer,Moguer,Huelva,5,0,M.Vazquez,383,59,Encontrado muerto,2006-08-29,muerto
A,6004230,Tachibaptus ruficollis,20,8,1985,Lucio del Buen Tiro PND,Doñana,Sevilla,1,0,P.Rodriguez,NA,NA,Anillamiento,1985-08-20,anillamiento
C,6004230,Tachibaptus ruficollis,24,4,1987,Aznalcazar,Aznalcazar,Sevilla,2,0,Cazador,614,31,Cazada escopeta,1987-04-24,muerto
A,G3349,Tachibaptus ruficollis,30,7,1968,Lucio Marilopez PND,Aznalcazar,Sevilla,1,0,P.Rodriguez,NA,NA,Anillamiento,1968-07-30,anillamiento
C,G3349,Tachibaptus ruficollis,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Cazador,NA,25,Cazada escopeta solo anilla,1989-12-15,muerto
A,D05757,Anas platyrhynchos,1,5,1965,RB Doñana,Almonte,Huelva,4,1,EBD,NA,NA,Anillamiento,1965-05-01,anillamiento
C,D05757,Anas platyrhynchos,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,1989-12-15,muerto
A,E22973,Anas platyrhynchos,10,7,1984,Caño Guadiamar PND,Almonte,Huelva,1,0,A. Herrera,NA,NA,Anillamiento,1984-07-10,anillamiento
C,E22973,Anas platyrhynchos,12,8,1987,Puebla del Rio,Puebla del Rio,Sevilla,9,0,Cazador,NA,NA,Cazada escopeta,1987-08-12,muerto
A,DE09420,Anas platyrhynchos,26,7,1971,Aznalcazar,Aznalcazar,Sevilla,1,2,P. Clarita,NA,NA,Anillamiento,1971-07-26,anillamiento
C,DE09420,Anas platyrhynchos,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,1989-12-15,muerto
A,DE12562,Anas platyrhynchos,16,7,1975,Veladero PND,Aznalcazar,Sevilla,1,0,M. Espinar,NA,NA,Anillamiento,1975-07-16,anillamiento
C,DE12562,Anas platyrhynchos,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,1989-12-15,muerto
A,DE20516,Anas platyrhynchos,26,6,1975,Veladero PND,Aznalcazar,Sevilla,1,1,P. Clarita,NA,NA,Anillamiento,1975-06-26,anillamiento
C,DE20516,Anas platyrhynchos,15,11,1981,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Cazador,NA,NA,Cazada escopeta,1981-11-15,muerto
A,DE25614,Anas platyrhynchos,2,6,1978,Lucio de Marilopez PND,Aznalcazar,Sevilla,1,1,P. Clarita,NA,NA,Anillamiento,1978-06-02,anillamiento
C,DE25614,Anas platyrhynchos,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,1989-12-15,muerto
A,DE29206,Anas platyrhynchos,30,6,1978,Lucio de Marilopez PND,Aznalcazar,Sevilla,4,2,P. Clarita,NA,NA,Anillamiento,1978-06-30,anillamiento
C,DE29206,Anas platyrhynchos,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,1989-12-15,muerto
A,H18319,Anas platyrhynchos,25,6,1972,Lucio Redondo PND,Aznalcazar,Sevilla,1,1,A. Sanchez,NA,NA,Anillamiento,1972-06-25,anillamiento
C,H18319,Anas platyrhynchos,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,1989-12-15,muerto
A,H18865,Anas platyrhynchos,6,7,1972,Caño Travieso PND,Aznalcazar,Sevilla,4,1,M. Espinar,NA,NA,Anillamiento,1972-07-06,anillamiento
C,H18865,Anas platyrhynchos,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,1989-12-15,muerto
A,H18754,Anas platyrhynchos,27,6,1972,Caño Travieso PND,Aznalcazar,Sevilla,1,2,M. Espinar,NA,NA,Anillamiento,1972-06-27,anillamiento
C,H18754,Anas platyrhynchos,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,1989-12-15,muerto
A,7004906,Anas platyrhynchos,3,6,1986,Lucio del Molino PND,Aznalcazar,Sevilla,1,2,A. Herrera,NA,NA,Anillamiento,1986-06-03,anillamiento
C,7004906,Anas platyrhynchos,15,8,1987,Puebla del Rio,Puebla del Rio,Sevilla,5,2,Cazador,NA,NA,Cazada escopeta,1987-08-15,muerto
A,7013573,Anas platyrhynchos,7,7,1986,Las Nuevas PND,Aznalcazar,Sevilla,2,0,PND,NA,NA,Anillamiento,1986-07-07,anillamiento
C,7013573,Anas platyrhynchos,23,10,1986,Cantaritas,Puebla del Rio,Sevilla,2,0,FG. Vilches,NA,NA,Encontrado muerto,1986-10-23,muerto
A,7014321,Anas platyrhynchos,25,6,1987,Caño Cardales PND,Aznalcazar,Sevilla,1,1,I. Fernandez,NA,NA,Anillamiento,1987-06-25,anillamiento
C,7014321,Anas platyrhynchos,5,7,1987,Lucio del Cangrejo PND,Aznalcazar,Sevilla,3,1,M. Vazquez,NA,NA,Encontrado muerto,1987-07-05,muerto
A,7015686,Anas platyrhynchos,6,6,1986,Lucio de la Piedra PND,Aznalcazar,Sevilla,4,2,A. Herrera,NA,NA,Anillamiento,1986-06-06,anillamiento
C,7015686,Anas platyrhynchos,15,11,1988,Puebla del Rio,Puebla del Rio,Sevilla,8,2,M. Vazquez,NA,NA,Cazada escopeta,1988-11-15,muerto
A,7015752,Anas platyrhynchos,12,6,1986,Caño Travieso PND,Aznalcazar,Sevilla,4,1,A. Herrera,NA,NA,Anillamiento,1986-06-12,anillamiento
C,7015752,Anas platyrhynchos,15,11,1988,Puebla del Rio,Puebla del Rio,Sevilla,8,2,M. Vazquez,NA,NA,Cazada escopeta,1988-11-15,muerto
A,7016118,Anas platyrhynchos,8,6,1987,Lucio del Rey PND,Aznalcazar,Sevilla,1,0,A. Herrera,NA,NA,Anillamiento,1987-06-08,anillamiento
C,7016118,Anas platyrhynchos,15,11,1988,Puebla del Rio,Puebla del Rio,Sevilla,5,0,M. Vazquez,NA,NA,Cazada escopeta,1988-11-15,muerto
A,7016346,Anas platyrhynchos,30,6,1987,La Gaveta PND,Aznalcazar,Sevilla,1,2,A. Herrera,NA,NA,Anillamiento,1987-06-30,anillamiento
C,7016346,Anas platyrhynchos,15,11,1988,Puebla del Rio,Puebla del Rio,Sevilla,5,2,M. Vazquez,NA,NA,Cazada escopeta,1988-11-15,muerto
A,7016521,Anas platyrhynchos,12,7,1987,Lucio del Bolin PND,Almonte,Huelva,3,0,F. Ibañez,NA,NA,Anillamiento,1987-07-12,anillamiento
C,7016521,Anas platyrhynchos,15,8,1987,Puebla del Rio,Puebla del Rio,Sevilla,3,0,FG. Vilches,NA,NA,Cazada escopeta,1987-08-15,muerto
A,7016528,Anas platyrhynchos,12,7,1987,Lucio del Bolin PND,Almonte,Huelva,3,1,F. Ibañez,NA,NA,Anillamiento,1987-07-12,anillamiento
C,7016528,Anas platyrhynchos,15,1,1988,Los Alamos,Isla Mayor,Sevilla,5,1,FG. Vilches,NA,NA,Cazada escopeta,1988-01-15,muerto
A,7017955,Anas platyrhynchos,20,6,1987,Caño Travieso PND,Aznalcazar,Sevilla,3,0,F. Ibañez,NA,NA,Anillamiento,1987-06-20,anillamiento
C,7017955,Anas platyrhynchos,15,8,1988,Los Caños,Sanlucar de Barrameda,Cadiz,5,0,FG. Vilches,NA,NA,Cazada escopeta,1988-08-15,muerto
A,7017969,Anas platyrhynchos,21,6,1987,El Burro PND,Almonte,Huelva,3,1,F. Ibañez,NA,NA,Anillamiento,1987-06-21,anillamiento
C,7017969,Anas platyrhynchos,18,1,1988,Cantaritas,Puebla del Rio,Sevilla,5,1,FG. Vilches,121,29,Cazada escopeta,1988-01-18,muerto
A,7018159,Anas platyrhynchos,3,9,1986,Doñana PND,Almonte,Huelva,4,2,PND,NA,NA,Anillamiento,1986-09-03,anillamiento
C,7018159,Anas platyrhynchos,15,12,1989,Isla Mayor,Isla Mayor,Sevilla,A,0,Cazador,1197,33,Cazada escopeta solo anilla,1989-12-15,muerto
A,7027848,Anas platyrhynchos,4,8,1988,El Puntal PND,Almonte,Huelva,3,2,PND,NA,NA,Anillamiento,1988-08-04,anillamiento
C,7027848,Anas platyrhynchos,25,7,1989,Lucio Las Gavetas,Puebla del Rio,Sevilla,5,2,P. Rodriguez,NA,NA,Encontrado muerto,1989-07-25,muerto
A,E23000,Anas strepera,10,7,1984,Caño Guadiamar PND,Aznalcazar,Sevilla,4,1,A. Herrera,NA,NA,Anillamiento,1984-07-10,anillamiento
C,E23000,Anas strepera,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,Cazador,NA,NA,Cazada escopeta solo anilla,1989-12-15,muerto
A,M1954,Anas strepera,19,8,1971,Lucio de Marilopez PND,Aznalcazar,Sevilla,4,2,EBD,NA,NA,Anillamiento,1971-08-19,anillamiento
C,M1954,Anas strepera,1,1,1990,Antequera,Antequera,Malaga,A,0,Cazador,6710,157,Cazada escopeta solo anilla,1990-01-01,muerto
A,6002116,Anas strepera,24,6,1987,Caño Cardales PND,Aznalcazar,Sevilla,1,1,P. Clarita,NA,NA,Anillamiento,1987-06-24,anillamiento
C,6002116,Anas strepera,5,7,1987,Lucio del Cangrejo PND,Aznalcazar,Sevilla,3,1,P. Rodriguez,NA,NA,Encontrado muerto,1987-07-05,muerto
A,5006800,Maramronetta angustirostris,6,8,1987,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,1,LEO BIAGGI,NA,NA,Anillamiento,1987-08-06,anillamiento
C,5006800,Maramronetta angustirostris,15,11,1988,Puebla del Rio,Puebla del Rio,Sevilla,5,0,Cazador,NA,NA,Cazada escopeta,1988-11-15,muerto
A,D10764,Netta rufina,19,7,1984,Caño Guadiamar PND,Aznalcazar,Sevilla,4,2,I. Fernandez,NA,NA,Anillamiento,1984-07-19,anillamiento
C,D10764,Netta rufina,15,12,1988,Isla Mayor,Isla Mayor,Sevilla,A,0,M. Vazquez,NA,NA,Cazada escopeta,1988-12-15,muerto
A,7009034,Netta rufina,14,7,1985,Lucio Redondo PND,Aznalcazar,Sevilla,1,0,LEO BIAGGI,NA,NA,Anillamiento,1985-07-14,anillamiento
C,7009034,Netta rufina,7,12,1987,Sueca,Sueca,Valencia,7,0,Cazador,143,588,Cazada escopeta,1987-12-07,muerto
A,7009036,Netta rufina,14,7,1985,Lucio del Rinconcillo PND,Almonte,Huelva,2,1,LEO BIAGGI,NA,NA,Anillamiento,1985-07-14,anillamiento
C,7009036,Netta rufina,27,11,1988,Cantaritas,Puebla del Rio,Sevilla,2,0,Cazador,1288,15,Cazada escopeta,1988-11-27,muerto
A,7060100,Netta rufina,1,12,2001,Cañada de los Pajaros,Puebla del Rio,Sevilla,4,2,CDP,NA,NA,Anillamiento,2001-12-01,anillamiento
C,7060100,Netta rufina,25,10,2006,Embalse de Alanje,Alanje,Badajoz,A,0,Particular,1789,180,Encontrado muerto,2006-10-25,muerto
A,7064223,Aythya ferina,16,7,2002,Caño Cardales PND,Aznalcazar,Sevilla,3,2,F. Ibañez,NA,NA,Anillamiento,2002-07-16,anillamiento
C,7064223,Aythya ferina,5,5,2005,Trebujena,Trebujena,Cadiz,A,0,M. Vazquez,1024,24,Cazada escopeta,2005-05-05,muerto
A,7021727,Netta rufina,30,7,1988,Caño Travieso PND,Aznalcazar,Sevilla,1,1,A. Herrera,NA,NA,Anillamiento,1988-07-30,anillamiento
C,7021727,Netta rufina,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,5,0,Cazador,NA,NA,Cazada escopeta,1989-12-15,muerto
A,7014268,Aythya ferina,10,7,1986,Los Cardales PND,Hinojos,Huelva,1,2,I. Fernandez,NA,NA,Anillamiento,1986-07-10,anillamiento
C,7014268,Aythya ferina,15,3,1987,Isla Minima,Puebla del Rio,Sevilla,5,0,LEO BIAGGI,NA,NA,Colision con tendido electrico,1987-03-15,muerto
A,7031226,Aythya ferina,25,8,1988,PN Doñana,Almonte,Huelva,3,0,PND,NA,NA,Anillamiento,1988-08-25,anillamiento
C,7031226,Aythya ferina,13,8,1989,Lucio Las Gavetas,Puebla del Rio,Sevilla,5,0,LEO BIAGGI,NA,NA,Encontrado muerto,1989-08-13,muerto
A,C6543,Gyps fulvus,28,7,1995,Alberuela de la Liena,Alberuela de la Liena,Huesca,3,0,GO Oscense,NA,NA,Anillamiento,1995-07-28,anillamiento
C,C6543,Gyps fulvus,23,9,1995,Basurero de Ayerbe,Ayerbe,Huesca,3,0,FJ Ramos,57,55,Envenenado,1995-09-23,muerto
A,C7452,Gyps fulvus,4,10,1994,CREA Guadalajara,Sigüenza,Guadalajara,3,2,CREA,NA,NA,Anillamiento,1994-10-04,anillamiento
C,C7452,Gyps fulvus,29,10,1994,El Arahal,El Arahal,Sevilla,3,0,Zamalla,25,492,Encontrado exahusto y liberado en buen estado,1994-10-29,control
A,1100036,Gyps fulvus,13,12,1986,El Chorro,Ardales,Malaga,3,0,G Malaca,NA,NA,Anillamiento,1986-12-13,anillamiento
C,1100036,Gyps fulvus,5,2,1987,El Arahal,El Arahal,Sevilla,5,0,Zamalla,54,75,Cazada escopeta,1987-02-05,muerto
A,1101866,Gyps fulvus,9,5,1998,Valdevacas,Montejo,Segovia,1,0,G. Doval,NA,NA,Anillamiento,1998-05-09,anillamiento
C,1101866,Gyps fulvus,13,7,1998,Constantina,Constantina,Sevilla,3,0,Zamalla,66,375,Encontrado exahusto y liberado en buen estado,1998-07-13,control
A,1103443,Gyps fulvus,19,1,2007,Cazorla,Cazorla,Jaen,5,0,M. Vazquez,NA,NA,Anillamiento,2007-01-19,anillamiento
C,1103443,Gyps fulvus,10,9,2008,Finca El Torilejo,Almodovar del Campo,Ciudad Real,7,0,CREA,601,140,Encontrado muerto,2008-09-10,muerto
A,8000198,Hieraetus pennatus,8,6,1985,Hato Raton,Aznalcazar,Sevilla,1,0,L. Garcia,NA,NA,Anillamiento,1985-06-08,anillamiento
C,8000198,Hieraetus pennatus,4,9,1987,La Pañoleta,Camas,Sevilla,7,0,LEO BIAGGI,NA,NA,Encontrado exahusto y liberado en buen estado,1987-09-04,control
A,8005926,Hieraetus pennatus,8,7,2004,Cabezo de Torres,Murcia,Murcia,1,0,ANSE,NA,NA,Anillamiento,2004-07-08,anillamiento
C,8005926,Hieraetus pennatus,18,1,2005,Ojuelos,Marchena,Sevilla,5,0,Zamalla,194,380,Encontrado muerto,2005-01-18,muerto
A,7044621,Buteo buteo,22,5,1999,Casilla Jona,Osuna,Sevilla,1,0,Zamalla,NA,NA,Anillamiento,1999-05-22,anillamiento
C,7044621,Buteo buteo,1,2,2000,Cazalilla,Cazalilla,Jaen,5,0,Particular,255,136,Encontrado muerto,2000-02-01,muerto
A,8002149,Buteo buteo,30,3,1993,Dehesa de Abajo,Puebla del Rio,Sevilla,3,0,LEO BIAGGI,NA,NA,Anillamiento,1993-03-30,anillamiento
C,8002149,Buteo buteo,12,4,1996,Finca Santa Teresa,Osuna,Sevilla,9,0,E. Gomez,NA,NA,Encontrado muerto,1996-04-12,muerto
A,7009784,Milvus migrans,9,6,1991,CREA Porzuna,Mairena del Aljarafe,Sevilla,4,0,M. Vazquez,NA,NA,Anillamiento,1991-06-09,anillamiento
C,7009784,Milvus migrans,12,7,1991,Sevilla,Sevilla,Sevilla,4,0,AMA,33,9,Encontrado muerto,1991-07-12,muerto
A,7035905,Milvus migrans,24,5,1996,RB Doñana,Almonte,Huelva,1,0,Vilches,NA,NA,Anillamiento,1996-05-24,anillamiento
C,7035905,Milvus migrans,22,7,2005,Trebujena,Trebujena,Cadiz,A,0,M. Vazquez,3346,24,Envenenado,2005-07-22,muerto
A,5001284,Circus pygargus,8,7,1994,Almonte,Almonte,Huelva,3,1,LEO BIAGGI,NA,NA,Anillamiento,1994-07-08,anillamiento
C,5001284,Circus pygargus,20,9,1994,Ribatejada,Ribatejada,Madrid,3,0,Particular,74,463,Encontrado muerto,1994-09-20,muerto
A,5010924,Circus pygargus,4,6,1997,Oilvares,Oilvares,Sevilla,1,1,P. Parreño,NA,NA,Anillamiento,1997-06-04,anillamiento
C,5010924,Circus pygargus,18,6,2000,Escacena del Campo,Escacena del Campo,Huelva,9,0,G. Alcarallon,1054,23,Atropellado,2000-06-18,muerto
A,5012981,Circus pygargus,13,6,1997,Bonares,Bonares,Huelva,8,1,EBD,NA,NA,Anillamiento,1997-06-13,anillamiento
C,5012981,Circus pygargus,15,5,1998,Niebla,Niebla,Huelva,A,0,G. Alcarallon,336,5,Atropellado,1998-05-15,muerto
A,5056965,Circus pygargus,9,6,2002,Gerena,Gerena,Sevilla,1,1,EBD,NA,NA,Anillamiento,2002-06-09,anillamiento
C,5056965,Circus pygargus,30,4,2003,Carmona,Carmona,Sevilla,5,1,M. Vazquez,325,50,Atropellado,2003-04-30,muerto
A,6022181,Circus pygargus,21,6,1996,Villarasa,Villarasa,Huelva,1,2,G Larus,NA,NA,Anillamiento,1996-06-21,anillamiento
C,6022181,Circus pygargus,5,8,1996,Laguna de Ruiz Sanchez,Ecija,Sevilla,3,2,Zamalla,46,134,Encontrado muerto,1996-08-05,muerto
A,8000273,Falco peregrinus,28,4,1994,PN Doñana,Almonte,Huelva,1,0,L. Garcia,NA,NA,Anillamiento,1994-04-28,anillamiento
C,8000273,Falco peregrinus,20,1,1995,Jerez de la Frontera,Jerez de la Frontera,Cadiz,5,0,Zamalla,NA,NA,Encontrado herido y no liberado,1995-01-20,control
A,4003502,Falco naumanni,2,8,1990,Tarifa,Tarifa,Cadiz,3,0,M. Vazquez,NA,NA,Anillamiento,1990-08-02,anillamiento
C,4003502,Falco naumanni,9,11,1990,Algeciras,Algeciras,Cadiz,3,0,Particular,97,18,Encontrado herido y no liberado,1990-11-09,control
A,4003533,Falco naumanni,7,6,1991,Porzuna,Mairena del Aljarafe,Sevilla,4,1,M. Vazquez,NA,NA,Anillamiento,1991-06-07,anillamiento
C,4003533,Falco naumanni,12,7,1991,Sevilla,Sevilla,Sevilla,4,1,Particular,35,9,Encontrado herido y no liberado,1991-07-12,control
A,4021992,Falco naumanni,6,6,1989,Mairena del Alcor,Mairena del Alcor,Sevilla,4,0,J. Negro,NA,NA,Anillamiento,1989-06-06,anillamiento
