Anilla,NombreComun,NombreEspecie,Familia,Orden,Grupo,E,S,G,Ala,Peso,Dia,Mes,Año,Hora.C,Hora.F,Lugar,Municipio,Provincia,Anillador,Observaciones,FECHA,Observaciones simple
230081,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,1.0,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230088,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,3.0,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
230095,Bank Swallow,Riparia riparia,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,3.0,,,15,5,1988,5.0,6.0,La Isleta,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-15,control
188649,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,6,2,3.0,121.0,20.5,26,6,1988,11.0,12.0,Cortijo La Atalaya,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-06-26,control
188865,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,5,1,3.0,,,12,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-12,control
188889,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,5,1,3.0,,,26,3,1988,16.0,17.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-26,control
191639,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,3.0,,,12,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-12,control
191642,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,3.0,,,5,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-05,control
191645,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,4.0,,,6,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191646,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,3.0,,,12,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-12,control
191646,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,1,2.0,,,19,3,1988,15.0,16.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-19,control
191657,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,2.0,,,6,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191657,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,2.0,,,12,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-12,control
191659,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,4.0,,,6,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191662,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,4.0,,,13,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-13,control
