MODO,METAL,ESPECIE,DIA,MES,AÑO,LOCALIDAD,PAIS,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple,FECHA CONTROL 2,LOCALIDAD CONTROL 2,PAIS CONTROL 2,LONGITUDE CONTROL 1,LATITUDE CONTROL 1,LONGITUDE CONTROL 2,LATITUDE CONTROL 2,EDAD CONTROL 2,SEXO CONTROL 2,ANILLADOR CONTROL 2,Dias anotados,Kms anotados,Observaciones control 2,Observaciones simple control 2
A,254842,Anser anser,21,6,1978,"Bosau, Schleswig, Holstein",Alemania,7,0,Extranjero,7060,2281.980652746851,Anillamiento,1978-06-21,anillamiento,1997-10-19,"Palacio del Rey, Hinojos, Huelva",España,10.430204,54.10659380000001,-6.380039699999999,37.1595443,A,0,Particular,7060,2268,Encontrado muerto,muerto
A,220615,Anser anser,12,6,1985,"Guelper, NE Postdam",Alemania,3,2,Extranjero,1982,2228.4628663718536,Anillamiento,1985-06-12,anillamiento,1990-11-15,"Isla Mayor, Sevilla",España,13.0644729,52.3905689,-5.9127402,37.3868107,A,0,Particular,1982,2246,Cazado con escopeta,muerto
A,9396,Anser anser,24,6,1988,"Utterslev Mose, Seeland, Mon Saltholm",Dinamarca,2,0,Extranjero,174,2461.8012669730697,Anillamiento,1988-06-24,anillamiento,1988-12-15,"Isla Mayor, Sevilla",España,12.496046400000001,55.7144671,-5.9127402,37.3868107,2,0,M. Vazquez,161,2495,Cazado con escopeta,muerto
A,9331,Anser anser,13,6,1989,"Utterslev Mose, Kobenhavn, Sjaelland",Dinamarca,1,1,Extranjero,520,2480.2845492244564,Anillamiento,1989-06-13,anillamiento,1990-11-15,"Cantaritas, Puebla del Rio, Sevilla",España,12.5067223,55.7174179,-6.063133,37.2694065,5,0,Particular,520,2481,Cazado con escopeta,muerto
A,3900545,Anser anser,11,6,1993,"Utterslev Mose, Sjaelland",Dinamarca,1,1,Extranjero,3079,2461.8012669730697,Anillamiento,1993-06-11,anillamiento,2001-11-15,"Isla Mayor, Sevilla",España,12.496046400000001,55.7144671,-5.9127402,37.3868107,A,0,EBD,3079,2496,Cazado con escopeta,muerto
A,3900909,Anser anser,31,8,1991,"Riso, Roskilde, Sjaelland",Dinamarca,1,0,Extranjero,441,2461.120929525553,Anillamiento,1991-08-31,anillamiento,1992-11-14,"Puebla del Rio, Sevilla",España,12.0974455,55.6925969,-6.063133,37.2694065,5,0,Particular,441,2458,Cazado con escopeta,muerto
A,3901325,Anser anser,5,5,1996,"Utterslev Mose, Sjaelland",Dinamarca,5,2,Extranjero,2020,2461.8012669730697,Anillamiento,1996-05-05,anillamiento,2001-11-15,"Isla Mayor, Sevilla",España,12.496046400000001,55.7144671,-5.9127402,37.3868107,A,0,M. Vazquez,2020,2496,Cazado con escopeta,muerto
A,9004767,Anser anser,22,9,1991,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,4,2,CDP,424,1945.7969546729712,Anillamiento,1991-09-22,anillamiento,1992-11-19,"Kampereiland, Kampem, Overijssel",Dinamarca,-6.129244,37.2385346,5.891183799999999,52.5842995,6,0,Extranjero,424,1941,Cazado con escopeta,muerto
A,9025037,Anser anser,13,7,2003,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,4,2,CDP,386,1824.0598800811374,Anillamiento,2003-07-13,anillamiento,2004-08-02,"Hickling Broad, Norfolk",Gran Bretaña,-6.129244,37.2385346,1.579028,52.738164,6,2,BTO,562,1838,Anilla leida telescopio,muerto
A,BA19341,Anser anser,3,7,1994,"Slibraken, Vega, Nordland",Noruega,4,2,Extranjero,4128,3368.34405437471,Anillamiento,1994-07-03,anillamiento,2005-10-21,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,11.5032951,65.7085295,-6.129244,37.2385346,A,2,M. Vazquez,4128,3375,Encontrado exhausta y liberado en buen estado,control
A,241629,Anser anser,17,7,1997,"Vallsjoen, Vega, Nordland",Noruega,1,1,Extranjero,1244,3573.2123813718476,Anillamiento,1997-07-17,anillamiento,2000-12-12,"Sanlucar de Barrameda, Cadiz",España,13.5037522,66.7952956,-6.3529689,36.7725774,9,0,M. Vazquez,1244,3423,Cazado con escopeta,muerto
A,9226992,Anser anser,29,6,1986,"Sverigen, M Skame, Malmohus",Suecia,6,1,Extranjero,565,2491.5105938409815,Anillamiento,1986-06-29,anillamiento,1988-01-15,"Puebla del Rio, Sevilla",España,12.9876118,55.6047994,-6.063133,37.2694065,A,0,M. Vazquez,566,2498,Cazado con escopeta,muerto
A,9233013,Anser anser,4,6,1989,"Borringesjon, Malmohus",Suecia,4,2,Extranjero,3896,2495.1003525944084,Anillamiento,1989-06-04,anillamiento,2000-02-03,"Puebla del Rio, Sevilla",España,13.3099815,55.47589259999999,-6.063133,37.2694065,A,0,M. Vazquez,3896,2494,Cazado con escopeta fecha carta,muerto
A,WA06240,Anser anser,2,6,1994,"Rez ST Milickie, Kompl. Stawno., Wroclaw",Polonia,4,1,Extranjero,213,2385.261298558501,Anillamiento,1994-06-02,anillamiento,1995-01-01,"Puebla del Rio, Sevilla",España,17.0385376,51.1078852,-6.063133,37.2694065,6,0,M. Vazquez,213,2487,Cazado con escopeta,muerto
A,208519,Anser anser,9,5,1974,"Guelper, See Neubranderburg",Alemania,2,0,Extranjero,4968,2231.638216283328,Anillamiento,1974-05-09,anillamiento,1987-12-15,"Puebla del Rio, Sevilla",España,12.2516128,52.7376486,-6.063133,37.2694065,A,0,M. Vazquez,2606,2231,Cazado con escopeta fecha carta,muerto
A,208740,Anser anser,3,9,1975,"Trent, Rostock",Alemania,3,2,Extranjero,5217,2330.1635283264436,Anillamiento,1975-09-03,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,12.0991466,54.0924406,-6.063133,37.2694065,A,0,M. Vazquez,5212,2439,Cazado con escopeta fecha carta,muerto
A,212403,Anser anser,9,5,1977,"Guelper, SE Postdam",Alemania,1,0,Extranjero,4603,2246.8115675526183,Anillamiento,1977-05-09,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,13.0644729,52.3905689,-6.063133,37.2694065,A,0,M. Vazquez,4596,2362,Cazado con escopeta fecha carta,muerto
A,215737,Anser anser,27,6,1981,"Guelper, Rathenow Postdam",Alemania,3,2,Extranjero,2362,2227.528742433586,Anillamiento,1981-06-27,anillamiento,1987-12-15,"Cantaritas, Puebla del Rio, Sevilla",España,12.35731,52.61411,-6.063133,37.2694065,A,0,M. Vazquez,2358,2237,Cazado con escopeta,muerto
A,220744,Anser anser,28,8,1985,"Guelper, Rathenow Postdam",Alemania,6,2,Extranjero,1175,2227.528742433586,Anillamiento,1985-08-28,anillamiento,1988-11-15,"Puebla del Rio, Sevilla",España,12.35731,52.61411,-6.063133,37.2694065,A,0,M. Vazquez,1176,2231,Cazado con escopeta,muerto
A,254997,Anser anser,21,6,1978,"Bosau, Schleswig, Holstein",Alemania,1,0,Extranjero,3795,2257.7131617252,Anillamiento,1978-06-21,anillamiento,1988-11-10,"Puebla del Rio, Sevilla",España,10.430204,54.10659380000001,-6.063133,37.2694065,A,0,M. Vazquez,3789,2259,Cazado con escopeta,muerto
A,292494,Anser anser,11,6,1960,"Utterslev Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,0,Extranjero,10779,2480.2845492244564,Anillamiento,1960-06-11,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,12.5067223,55.7174179,-6.063133,37.2694065,A,0,M. Vazquez,10769,2510,Cazado con escopeta fecha carta,muerto
A,1801,Anser anser,23,6,1964,"Utterslev Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,2,Extranjero,9306,2480.2845492244564,Anillamiento,1964-06-23,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,12.5067223,55.7174179,-6.063133,37.2694065,A,0,M. Vazquez,9297,2510,Cazado con escopeta fecha carta,muerto
A,2412,Anser anser,18,6,1971,"Kags Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,6755,2484.1255544539977,Anillamiento,1971-06-18,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,12.7594539,55.634077,-6.063133,37.2694065,A,0,M. Vazquez,6747,2508,Cazado con escopeta fecha carta,muerto
A,2485,Anser anser,19,6,1972,"Utterslev Mose, Maribo, Falster Lolland",Dinamarca,2,2,Extranjero,6388,2359.7040407514364,Anillamiento,1972-06-19,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,11.50737,54.774717,-6.063133,37.2694065,A,0,M. Vazquez,6381,2403,Cazado con escopeta fecha carta,muerto
A,4392,Anser anser,14,6,1978,"Utterslev Mose, Maribo, Falster Lolland",Dinamarca,2,2,Extranjero,4202,2359.7040407514364,Anillamiento,1978-06-14,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,11.50737,54.774717,-6.063133,37.2694065,A,0,M. Vazquez,4196,2389,Cazado con escopeta fecha carta,muerto
A,4411,Anser anser,14,6,1978,"Utterslev Mose,  Seeland",Dinamarca,3,1,Extranjero,1280,2479.5914332743446,Anillamiento,1978-06-14,anillamiento,1981-12-15,"Puebla del Rio, Sevilla",España,12.496046400000001,55.7144671,-6.063133,37.2694065,A,0,M. Vazquez,NA,NA,Cazado con escopeta fecha carta,muerto
A,7083,Anser anser,17,6,1981,"Utterslev Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,3103,2480.2845492244564,Anillamiento,1981-06-17,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,12.5067223,55.7174179,-6.063133,37.2694065,A,0,M. Vazquez,2510,3098,Cazado con escopeta fecha carta,muerto
A,7360,Anser anser,22,6,1984,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,6,2,Extranjero,2004,2479.5914332743446,Anillamiento,1984-06-22,anillamiento,1989-12-17,"Cantaritas, Puebla del Rio, Sevilla",España,12.496046400000001,55.7144671,-6.063133,37.2694065,A,0,M. Vazquez,2000,2484,Cazado con escopeta,muerto
A,7395,Anser anser,18,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,941,2499.7776970325117,Anillamiento,1985-06-18,anillamiento,1988-01-15,"Almonte, Huelva",España,12.496046400000001,55.7144671,-6.516975299999999,37.2596578,9,0,M. Vazquez,942,2499,Cazado con escopeta,muerto
A,7409,Anser anser,18,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,1,2,Extranjero,576,2514.3113710376138,Anillamiento,1985-06-18,anillamiento,1987-01-15,"Marisma de Hinojos, Hinojos, Huelva",España,12.496046400000001,55.7144671,-6.4166667,37.0666667,7,0,M. Vazquez,577,2490,Cazado con escopeta,muerto
A,7431,Anser anser,18,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,6,1,Extranjero,941,2499.7776970325117,Anillamiento,1985-06-18,anillamiento,1988-01-15,"Almonte, Huelva",España,12.496046400000001,55.7144671,-6.516975299999999,37.2596578,A,0,M. Vazquez,942,2499,Cazado con escopeta,muerto
