Anilla,NombreEspecie,E,S,G,Ala,Peso,Tarso,Dia,Mes,Año,Hora.C,Hora.F,Ancho.tarso,Cola,Pico,Lugar,Municipio,Provincia,Anillador,Observaciones,FECHA,Observaciones simple
3090235,Upupa epops,3,0,NA,NA,NA,NA,5,9,1994,NA,NA,NA,NA,NA,Manecorro,Almonte,Huelva,JL Arroyo,,1994-09-05,control
T007755,Caildris ferruginea,4,0,NA,NA,NA,NA,6,5,1998,NA,NA,NA,NA,NA,Marismas del Odiel,Huelva,Huelva,JL Arroyo,,1998-05-06,control
4048368,Tringa totanus,4,0,NA,NA,NA,NA,24,9,1998,NA,NA,NA,NA,NA,Marismas del Odiel,Huelva,Huelva,JL Arroyo,,1998-09-24,control
9015558,Ciconia ciconia,2,0,NA,NA,NA,NA,12,6,1994,NA,NA,NA,NA,NA,Dehesa de Abajo,Puebla del Rio,Sevilla,Manuel Vazquez,Encontrado solo anilla,1994-06-12,control
9004110,Ciconia ciconia,4,0,NA,NA,NA,NA,12,6,1994,NA,NA,NA,NA,NA,Dehesa de Abajo,Puebla del Rio,Sevilla,Manuel Vazquez,Encontrado solo anilla,1994-06-12,control
3037708,Cyanopica cyana,4,0,NA,NA,NA,NA,3,3,1991,NA,NA,NA,NA,NA,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-03-03,control
3037708,Cyanopica cyana,4,0,2,127,67,NA,18,3,1991,NA,NA,NA,NA,NA,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-03-18,control
3037708,Cyanopica cyana,4,0,1,NA,NA,NA,7,4,1991,NA,NA,NA,NA,NA,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-04-07,control
3037709,Cyanopica cyana,4,0,NA,NA,NA,NA,20,2,1991,NA,NA,NA,NA,NA,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-02-20,control
3037709,Cyanopica cyana,4,0,NA,NA,NA,NA,16,3,1991,NA,NA,NA,NA,NA,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-03-16,control
3037709,Cyanopica cyana,4,0,NA,NA,NA,NA,17,3,1991,NA,NA,NA,NA,NA,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-03-17,control
3037710,Cyanopica cyana,4,0,0,NA,75,NA,6,4,1991,NA,NA,NA,NA,NA,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-04-06,control
3037711,Cyanopica cyana,4,0,0,NA,NA,NA,3,3,1991,NA,NA,NA,NA,NA,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-03-03,control
3037114,Cyanopica cyana,4,0,NA,NA,NA,NA,3,3,1991,NA,NA,NA,NA,NA,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-03-03,control
