MODO,METAL,NOMBRE_COMUN,ESPECIE,FAMILIA,ORDEN,GRUPO,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple,FECHA CONTROL 2,LUGAR CONTROL 2,MUNICIPIO CONTROL 2,PROVINCIA CONTROL 2,LONGITUDE CONTROL 1,LATITUDE CONTROL 1,LONGITUDE CONTROL 2,LATITUDE CONTROL 2,EDAD CONTROL 2,SEXO CONTROL 2,ANILLADOR CONTROL 2,Dias anotados,Kms anotados,Observaciones control 2,Observaciones simple control 2
A,SE10612,Purple Heron,Ardea purpurea,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",21,6,1968,Las Nuevas PND,Doñana,Huelva,1.0,0.0,M.Vazquez,7847,407.23149893346783,Anillamiento,1968-06-21,anillamiento,1989-12-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.0605394,37.2708326,-3.74922,40.46366700000001,A,0,Particular,,,Cazada escopeta solo anilla,muerto
A,6067827,Cattle Egret,Bubulcus ibis,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",2,7,1993,Casa Torres,Zorita,Caceres,1.0,0.0,Catedra de Vertebrados,2054,211.9586889136852,Anillamiento,1993-07-02,anillamiento,1999-02-15,Moralejo,Estepa,Sevilla,-5.6997136,39.28636849999999,-3.74922,40.46366700000001,A,0,M.Vazquez,2054.0,233.0,Encontrado muerto,muerto
A,F10080,Cattle Egret,Bubulcus ibis,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",20,6,1974,Campanario,Campanario,Badajoz,1.0,0.0,Museo Ciencias,7135,374.7627057033311,Anillamiento,1974-06-20,anillamiento,1994-01-01,Aracena,Aracena,Huelva,-6.561888400000001,37.8935487,-3.74922,40.46366700000001,A,0,Cazador,7129.0,135.0,Cazada escopeta solo anilla,muerto
A,9025091,White Stork,Ciconia ciconia,Ciconiidae (Storks),Ciconiiformes,Storks,21,7,2006,Cañada de los Pajaros,Puebla del Rio,Sevilla,3.0,0.0,P.Rodriguez,117,407.4810089617044,Anillamiento,2006-07-21,anillamiento,2006-11-15,Chiclana de la Frontera,Chiclana de la Frontera,Cadiz,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,EBD,187.0,82.0,Colision con tendido electrico,muerto
A,9026345,White Stork,Ciconia ciconia,Ciconiidae (Storks),Ciconiiformes,Storks,10,6,1999,Dehesa Boyal de Pilas,Aznalcazar,Sevilla,1.0,0.0,M.Vazquez,2370,483.196833388051,Anillamiento,1999-06-10,anillamiento,2005-12-05,Basurero Miramundo,Medina Sidonia,Cadiz,-5.9292131,36.4619644,-3.74922,40.46366700000001,A,0,Particular,2370.0,48.0,Anilla leida telescopio,muerto
A,G018537,White Stork,Ciconia ciconia,Ciconiidae (Storks),Ciconiiformes,Storks,30,5,1990,Jerez de la Frontera,Jerez de la Frontera,Cadiz,1.0,0.0,O. del Junco,1081,399.99018458942,Anillamiento,1990-05-30,anillamiento,1993-05-15,Basurero,Dos Hermanas,Sevilla,-5.924239099999999,37.2865803,-3.74922,40.46366700000001,9,0,M.Vazquez,1081.0,71.0,Encontrado muerto,muerto
A,6015685,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",28,7,1986,Puebla del Rio,Puebla del Rio,Sevilla,1.0,0.0,Vilches,316,407.4810089617044,Anillamiento,1986-07-28,anillamiento,1987-06-09,Pinzon,Utrera,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,Particular,,,Envenenada,muerto
A,6022851,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",3,10,1990,Cañada de los Pajaros,Puebla del Rio,Sevilla,3.0,0.0,P.Rodriguez,800,313.92309260253654,Anillamiento,1990-10-03,anillamiento,1992-12-11,Almodovar del Rio,Almodovar del Rio,Cordoba,-5.014567,37.8131513,-3.74922,40.46366700000001,2,0,Particular,800.0,110.0,Encontrado muerto,muerto
A,6040616,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",17,7,1988,Corta de la Isleta,Puebla del Rio,Sevilla,1.0,0.0,Catedra de Vertebrados,108,407.4810089617044,Anillamiento,1988-07-17,anillamiento,1988-11-02,Lebrija,Lebrija,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,M.Vazquez,105.0,40.0,Cazada escopeta,muerto
A,6050205,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",7,7,1989,Corta de la Isleta,Puebla del Rio,Sevilla,1.0,0.0,Catedra de Vertebrados,161,407.4810089617044,Anillamiento,1989-07-07,anillamiento,1989-12-15,Lebrija,Lebrija,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,M.Vazquez,158.0,49.0,Cazada escopeta,muerto
