MODO,METAL,NOMBRE_COMUN,ESPECIE,FAMILIA,ORDEN,GRUPO,DIA,MES,AÑO,LOCALIDAD,PAIS,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple,FECHA CONTROL 2,LOCALIDAD CONTROL 2,PAIS CONTROL 2,LONGITUDE CONTROL 1,LATITUDE CONTROL 1,LONGITUDE CONTROL 2,LATITUDE CONTROL 2,EDAD CONTROL 2,SEXO CONTROL 2,ANILLADOR CONTROL 2,Dias anotados,Kms anotados,Observaciones control 2,Observaciones simple control 2
A,2485,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,19,6,1972,"Utterslev Mose, Maribo, Falster Lolland",Dinamarca,2,2,Extranjero,6388,2359.7040407514364,Anillamiento,1972-06-19,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,11.50737,54.774717,-6.063133,37.2694065,A,0,M. Vazquez,6381.0,2403.0,Cazado con escopeta fecha carta,muerto
A,4392,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,14,6,1978,"Utterslev Mose, Maribo, Falster Lolland",Dinamarca,2,2,Extranjero,4202,2359.7040407514364,Anillamiento,1978-06-14,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,11.50737,54.774717,-6.063133,37.2694065,A,0,M. Vazquez,4196.0,2389.0,Cazado con escopeta fecha carta,muerto
A,4411,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,14,6,1978,"Utterslev Mose,  Seeland",Dinamarca,3,1,Extranjero,1280,2479.5914332743446,Anillamiento,1978-06-14,anillamiento,1981-12-15,"Puebla del Rio, Sevilla",España,12.4960464,55.7144671,-6.063133,37.2694065,A,0,M. Vazquez,,,Cazado con escopeta fecha carta,muerto
A,7083,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,17,6,1981,"Utterslev Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,3103,2480.2845492244564,Anillamiento,1981-06-17,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,12.5067223,55.7174179,-6.063133,37.2694065,A,0,M. Vazquez,2510.0,3098.0,Cazado con escopeta fecha carta,muerto
A,7360,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,22,6,1984,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,6,2,Extranjero,2004,2479.5914332743446,Anillamiento,1984-06-22,anillamiento,1989-12-17,"Cantaritas, Puebla del Rio, Sevilla",España,12.4960464,55.7144671,-6.063133,37.2694065,A,0,M. Vazquez,2000.0,2484.0,Cazado con escopeta,muerto
A,7395,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,18,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,941,2499.777697032512,Anillamiento,1985-06-18,anillamiento,1988-01-15,"Almonte, Huelva",España,12.4960464,55.7144671,-6.516975299999999,37.2596578,9,0,M. Vazquez,942.0,2499.0,Cazado con escopeta,muerto
A,7409,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,18,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,1,2,Extranjero,576,2514.3113710376138,Anillamiento,1985-06-18,anillamiento,1987-01-15,"Marisma de Hinojos, Hinojos, Huelva",España,12.4960464,55.7144671,-6.4166667,37.0666667,7,0,M. Vazquez,577.0,2490.0,Cazado con escopeta,muerto
A,7431,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,18,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,6,1,Extranjero,941,2499.777697032512,Anillamiento,1985-06-18,anillamiento,1988-01-15,"Almonte, Huelva",España,12.4960464,55.7144671,-6.516975299999999,37.2596578,A,0,M. Vazquez,942.0,2499.0,Cazado con escopeta,muerto
A,7490,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,19,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,3,1,Extranjero,1607,2479.5914332743446,Anillamiento,1985-06-19,anillamiento,1989-11-12,"Cantaritas, Puebla del Rio, Sevilla",España,12.4960464,55.7144671,-6.063133,37.2694065,A,0,M. Vazquez,1603.0,2484.0,Cazado con escopeta,muerto
A,7614,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,16,6,1983,"Utterslev Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,2374,2480.2845492244564,Anillamiento,1983-06-16,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,12.5067223,55.7174179,-6.063133,37.2694065,A,0,M. Vazquez,2369.0,2510.0,Cazado con escopeta fecha carta,muerto
